Panicum virgatum, 120688288, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Panicum virgatum, 120652259, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Panicum virgatum, 120650957, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Panicum virgatum, 120651359, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Panicum virgatum, 120685048, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Panicum virgatum, 120642436, UDP-glycosyltransferase 73C4-like  [EC], ['EC:2.4.1.-'], KO:K22771
Panicum virgatum, 120642486, UDP-glycosyltransferase 73D1-like isoform X1  [EC], ['EC:2.4.1.-'], KO:K22771
Panicum virgatum, 120672984, UDP-glycosyltransferase 73C6-like  [EC], ['EC:2.4.1.-'], KO:K22771
Panicum virgatum, 120680509, UDP-glycosyltransferase 73C4-like  [EC], ['EC:2.4.1.-'], KO:K22771
Panicum virgatum, 120683638, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Panicum virgatum, 120686094, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Panicum virgatum, 120686464, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Panicum virgatum, 120686670, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Panicum virgatum, 120643715, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Panicum virgatum, 120658814, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Panicum virgatum, 120706313, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Panicum virgatum, 120650493, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Panicum virgatum, 120711574, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Panicum virgatum, 120713200, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
