Os11t0530600-01,(RAP-DB) Os11g0530600,Similar to Chalcone synthase C2 (EC 2.3.1.74) (Naringenin-chalcone synthase C2).,KO:K00660,EC:2.3.1.74,
Os07t0214900-00,(RAP-DB) Os07g0214900,Similar to Chalcone synthase C2 (EC 2.3.1.74) (Naringenin-chalcone synthase C2).,KO:K00660,EC:2.3.1.74,
Os03t0819600-01,(RAP-DB) Os03g0819600,Chalcone isomerase (EC 5.5.1.6).,KO:K01859,EC:5.5.1.6,
Os12t0115700-01,(RAP-DB) Os12g0115700,Chalcone isomerase domain containing protein.,KO:K01859,EC:5.5.1.6,
Os11t0116300-01,(RAP-DB) Os11g0116300,Chalcone isomerase domain containing protein.,KO:K01859,EC:5.5.1.6,
Os04t0662600-00,(RAP-DB) Os04g0662600,Similar to Naringenin,2-oxoglutarate 3-dioxygenase.,KO:K00475,EC:1.14.11.9,
Os02t0767300-01,(RAP-DB) Os02g0767300,Similar to Flavonol synthase/flavanone 3-hydroxylase (EC 1.14.11.23) (EC 1.14.11.9) (FLS) (CitFLS).,KO:K05278,EC:1.14.20.6,
Os01t0820000-00,(RAP-DB) Os01g0820000,Similar to Cinnamate-4-hydroxylase.,KO:K00487,EC:1.14.14.91,
Os02t0467000-00,(RAP-DB) Os02g0467000,Similar to trans-cinnamate 4-monooxygenase.,KO:K00487,EC:1.14.14.91,
Os02t0467600-01,(RAP-DB) Os02g0467600,Similar to Cinnamate 4-hydroxylase CYP73.,KO:K00487,EC:1.14.14.91,
Os05t0320700-02,(RAP-DB) Os05g0320700,Similar to Cytochrome P450.,KO:K00487,EC:1.14.14.91,
Os10t0320100-01,(RAP-DB) Os10g0320100,Similar to Flavonoid 3'-monooxygenase (EC 1.14.13.21) (Flavonoid 3'-hydroxylase) (Cytochrome P450 75B2).,KO:K05280,EC:1.14.14.82,
Os10t0317900-01,(RAP-DB) Os10g0317900,Similar to Flavonoid 3'-monooxygenase (EC 1.14.13.21) (Flavonoid 3'-hydroxylase) (Cytochrome P450 75B2).,KO:K05280,EC:1.14.14.82,
Os01t0633500-00,(RAP-DB) Os01g0633500,Similar to Dihydroflavonol reductase.,KO:K13082,EC:1.1.1.219 1.1.1.234,
Os04t0101400-01,(RAP-DB) Os04g0101400,Cytochrome P450 family protein.,KO:K23180,EC:1.14.19.76,
Os03t0367101-00,(RAP-DB) Os03g0367101,Similar to cytochrome P450 flavonoid 3',5'-hydroxylase.,KO:K13083,EC:1.14.14.81,
Os01t0372500-00,(RAP-DB) Os01g0372500,Similar to Leucoanthocyanidin dioxygenase (EC 1.14.11.19) (LDOX) (Leucocyanidin oxygenase) (Leucoanthocyanidin hydroxylase).,KO:K05277,EC:1.14.20.4,
Os06t0626700-00,(RAP-DB) Os06g0626700,Isopenicillin N synthase family protein.,KO:K05277,EC:1.14.20.4,
Os04t0630100-01,(RAP-DB) Os04g0630100,NAD(P)-binding domain containing protein.,KO:K08695,EC:1.3.1.77,
Os04t0630300-01,(RAP-DB) Os04g0630300,NAD(P)-binding domain containing protein.,KO:K08695,EC:1.3.1.77,
Os04t0630400-01,(RAP-DB) Os04g0630400,NAD(P)-binding domain containing protein.,KO:K08695,EC:1.3.1.77,
Os04t0630600-00,(RAP-DB) Os04g0630600,Similar to H0323C08.16 protein.,KO:K08695,EC:1.3.1.77,
Os04t0630900-01,(RAP-DB) Os04g0630900,Similar to H0105C05.3 protein.,KO:K08695,EC:1.3.1.77,
Os04t0630800-01,(RAP-DB) Os04g0630800,Similar to Anthocyanidin reductase.,KO:K08695,EC:1.3.1.77,
Os04t0631000-00,(RAP-DB) Os04g0631000,Similar to H0105C05.4 protein.,KO:K08695,EC:1.3.1.77,
