Pistacia vera, 116146747, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Pistacia vera, 116143896, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Pistacia vera, 116144389, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Pistacia vera, 116144452, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Pistacia vera, 116144459, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Pistacia vera, 116115347, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Pistacia vera, 116115436, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Pistacia vera, 116118220, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Pistacia vera, 116126679, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Pistacia vera, 116144996, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Pistacia vera, 116145575, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Pistacia vera, 116115279, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Pistacia vera, 116115888, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Pistacia vera, 116131218, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Pistacia vera, 116106366, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Pistacia vera, 116125307, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Pistacia vera, 116146611, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116134194, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116141795, LOW QUALITY PROTEIN: stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116142285, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116130250, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132029, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132253, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132777, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132779, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132789, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132791, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132793, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132795, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132797, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132799, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116132815, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116133770, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116120694, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116107205, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116109571, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116112504, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116129137, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pistacia vera, 116130453, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Pistacia vera, 116138855, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Pistacia vera, 116140826, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Pistacia vera, 116140838, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Pistacia vera, 116114441, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
