Ipomoea triloba, 116030458, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea triloba, 116006484, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea triloba, 116022516, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea triloba, 116008405, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea triloba, 116028398, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea triloba, 116028538, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Ipomoea triloba, 116011928, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea triloba, 116025306, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea triloba, 116025383, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea triloba, 116016607, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Ipomoea triloba, 116017521, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea triloba, 116004292, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea triloba, 116004571, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea triloba, 116020443, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea triloba, 116022295, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea triloba, 116022296, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea triloba, 116023412, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea triloba, 116023668, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea triloba, 115996609, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea triloba, 116011454, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea triloba, 115997537, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea triloba, 116013476, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea triloba, 116001617, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Ipomoea triloba, 116001822, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116017083, (13S,14R)-1,13-dihydroxy-N-methylcanadine 13-O-acetyltransferase AT1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116002627, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116017245, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116003571, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116004209, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116004977, omega-hydroxypalmitate O-feruloyl transferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116005234, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116005303, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116005334, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116022581, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116010075, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116010446, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996094, (13S,14R)-1,13-dihydroxy-N-methylcanadine 13-O-acetyltransferase AT1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996098, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996102, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996103, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996401, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996402, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116011177, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116024645, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115997127, stemmadenine O-acetyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116025346, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116025347, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116025348, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116025405, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116025406, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116012669, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116014158, spermidine hydroxycinnamoyl transferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116015488, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116028808, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116015787, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116015789, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116015790, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116015791, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 116015792, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ipomoea triloba, 115996353, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Ipomoea triloba, 116029460, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Ipomoea triloba, 116016629, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea triloba, 116003711, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea triloba, 116019364, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea triloba, 116010455, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea triloba, 115996808, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea triloba, 115997938, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea triloba, 116025891, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea triloba, 115999206, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea triloba, 116014246, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea triloba, 116014400, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Ipomoea triloba, 116018772, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 116018984, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 116020734, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 115997386, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 115998829, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 115998830, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 115999240, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 115999241, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 115999947, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 116000260, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ipomoea triloba, 116032631, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Ipomoea triloba, 116033296, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Ipomoea triloba, 116010329, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Ipomoea triloba, 115997617, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Ipomoea triloba, 116011752, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
