Eutrema salsugineum, EUTSA_v10013745mg, hypothetical protein  [EC], ['EC:2.3.1.74'], KO:K00660
Eutrema salsugineum, EUTSA_v10010658mg, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Eutrema salsugineum, EUTSA_v10004922mg, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Eutrema salsugineum, EUTSA_v10014675mg, hypothetical protein  [EC], ['EC:5.5.1.6'], KO:K01859
Eutrema salsugineum, EUTSA_v10010399mg, hypothetical protein  [EC], ['EC:1.14.11.9'], KO:K00475
Eutrema salsugineum, EUTSA_v10028827mg, hypothetical protein  [EC], ['EC:1.14.20.6'], KO:K05278
Eutrema salsugineum, EUTSA_v10004668mg, hypothetical protein  [EC], ['EC:1.14.20.6'], KO:K05278
Eutrema salsugineum, EUTSA_v10005710mg, hypothetical protein  [EC], ['EC:1.14.20.6'], KO:K05278
Eutrema salsugineum, EUTSA_v10004662mg, hypothetical protein  [EC], ['EC:1.14.20.6'], KO:K05278
Eutrema salsugineum, EUTSA_v10029534mg, hypothetical protein  [EC], ['EC:1.14.20.6'], KO:K05278
Eutrema salsugineum, EUTSA_v10014054mg, hypothetical protein  [EC], ['EC:1.14.20.6'], KO:K05278
Eutrema salsugineum, EUTSA_v10016544mg, hypothetical protein  [EC], ['EC:1.14.14.91'], KO:K00487
Eutrema salsugineum, EUTSA_v10016545mg, hypothetical protein  [EC], ['EC:1.14.14.91'], KO:K00487
Eutrema salsugineum, EUTSA_v10013289mg, hypothetical protein  [EC], ['EC:1.14.14.82'], KO:K05280
Eutrema salsugineum, EUTSA_v10003227mg, hypothetical protein  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Eutrema salsugineum, EUTSA_v10025559mg, hypothetical protein  [EC], ['EC:1.14.20.4'], KO:K05277
Eutrema salsugineum, EUTSA_v10023567mg, hypothetical protein  [EC], ['EC:1.3.1.77'], KO:K08695
Eutrema salsugineum, EUTSA_v10011497mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Eutrema salsugineum, EUTSA_v10013552mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Eutrema salsugineum, EUTSA_v10022690mg, hypothetical protein  [EC], ['EC:2.3.1.133'], KO:K13065
Eutrema salsugineum, EUTSA_v10016538mg, hypothetical protein  [EC], ['EC:1.14.14.96'], KO:K09754
Eutrema salsugineum, EUTSA_v10026028mg, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Eutrema salsugineum, EUTSA_v10026121mg, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Eutrema salsugineum, EUTSA_v10008647mg, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
Eutrema salsugineum, EUTSA_v10019589mg, hypothetical protein  [EC], ['EC:2.1.1.104'], KO:K00588
