Pyrus x bretschneideri, 103934948, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Pyrus x bretschneideri, 103956742, phenylalanine ammonia-lyase class 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Pyrus x bretschneideri, 103962533, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Pyrus x bretschneideri, 103945990, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Pyrus x bretschneideri, 103945999, trans-cinnamate 4-monooxygenase-like isoform X2  [EC], ['EC:1.14.14.91'], KO:K00487
Pyrus x bretschneideri, 103963306, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Pyrus x bretschneideri, 103943288, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Pyrus x bretschneideri, 103947702, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Pyrus x bretschneideri, 103951504, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Pyrus x bretschneideri, 103939486, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Pyrus x bretschneideri, 103945464, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Pyrus x bretschneideri, 103927375, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Pyrus x bretschneideri, 103928538, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Pyrus x bretschneideri, 103928616, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Pyrus x bretschneideri, 103960242, 4CL; 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Pyrus x bretschneideri, 103961503, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Pyrus x bretschneideri, 103937530, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Pyrus x bretschneideri, 103929133, 4-coumarate--CoA ligase-like 9 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Pyrus x bretschneideri, 103945380, HCT3; shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103934740, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103934745, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103949358, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103949878, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103945376, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103948996, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103955861, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103955862, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103955880, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103960633, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103960622, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103955102, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103964288, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103946365, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Pyrus x bretschneideri, 103946366, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Pyrus x bretschneideri, 103944996, cytochrome P450 98A2 isoform X1  [EC], ['EC:1.14.14.96'], KO:K09754
Pyrus x bretschneideri, 103944997, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Pyrus x bretschneideri, 103944999, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Pyrus x bretschneideri, 103940081, LOW QUALITY PROTEIN: caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Pyrus x bretschneideri, 103940425, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Pyrus x bretschneideri, 103936760, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Pyrus x bretschneideri, 103928423, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Pyrus x bretschneideri, 103940424, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Pyrus x bretschneideri, 103948360, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Pyrus x bretschneideri, 103948505, caffeoylshikimate esterase-like isoform X2  [EC], ['EC:3.1.1.-'], KO:K18368
Pyrus x bretschneideri, 103928574, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Pyrus x bretschneideri, 103928377, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Pyrus x bretschneideri, 103934625, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Pyrus x bretschneideri, 103947637, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Pyrus x bretschneideri, 103961472, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Pyrus x bretschneideri, 103965012, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Pyrus x bretschneideri, 103933993, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Pyrus x bretschneideri, 103936907, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Pyrus x bretschneideri, 103936908, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Pyrus x bretschneideri, 103929948, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Pyrus x bretschneideri, 103945355, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Pyrus x bretschneideri, 103945358, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Pyrus x bretschneideri, 108867111, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Pyrus x bretschneideri, 103929434, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Pyrus x bretschneideri, 103929435, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Pyrus x bretschneideri, 103929436, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Pyrus x bretschneideri, 103938843, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Pyrus x bretschneideri, 103966927, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Pyrus x bretschneideri, 103930975, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Pyrus x bretschneideri, 103938031, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Pyrus x bretschneideri, 103966736, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Pyrus x bretschneideri, 103943506, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pyrus x bretschneideri, 103927980, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pyrus x bretschneideri, 103935025, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pyrus x bretschneideri, 103935026, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pyrus x bretschneideri, 103951568, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pyrus x bretschneideri, 103951571, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pyrus x bretschneideri, 103951578, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pyrus x bretschneideri, 103943352, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pyrus x bretschneideri, 103956347, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pyrus x bretschneideri, 103951572, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pyrus x bretschneideri, 103927981, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pyrus x bretschneideri, 103927983, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Pyrus x bretschneideri, 103962668, probable cinnamyl alcohol dehydrogenase 1 isoform X2  [EC], ['EC:1.1.1.195'], KO:K00083
Pyrus x bretschneideri, 103928508, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Pyrus x bretschneideri, 103927518, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Pyrus x bretschneideri, 103928512, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Pyrus x bretschneideri, 103942027, probable mannitol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Pyrus x bretschneideri, 103945067, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Pyrus x bretschneideri, 103952345, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Pyrus x bretschneideri, 103952347, cannabidiolic acid synthase-like 1  [EC], ['EC:1.1.1.195'], KO:K22395
Pyrus x bretschneideri, 103952349, flavin-dependent oxidoreductase FOX2-like  [EC], ['EC:1.1.1.195'], KO:K22395
Pyrus x bretschneideri, 103945219, flavin-dependent oxidoreductase FOX5-like  [EC], ['EC:1.1.1.195'], KO:K22395
Pyrus x bretschneideri, 103961241, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Pyrus x bretschneideri, 103948174, uncharacterized protein LOC103948174 precursor  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103926918, peroxidase 43  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103946699, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103944346, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103948810, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103951047, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103953352, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103928903, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103928523, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103951563, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103949925, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103949926, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Pyrus x bretschneideri, 103950923, peroxidase 65  [EC], ['EC:1.11.1.7'], KO:K00430
