Theobroma cacao, 18598875, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Theobroma cacao, 18601149, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Theobroma cacao, 18602780, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Theobroma cacao, 18592508, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Theobroma cacao, 18586269, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Theobroma cacao, 18586274, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Theobroma cacao, 18587472, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Theobroma cacao, 18610772, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Theobroma cacao, 18599277, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Theobroma cacao, 18592292, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Theobroma cacao, 18592290, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Theobroma cacao, 18589488, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Theobroma cacao, 18591096, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Theobroma cacao, 18587499, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Theobroma cacao, 18609567, non-functional NADPH-dependent codeinone reductase 2 , [], KO:K08243
Theobroma cacao, 18593084, licodione synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Theobroma cacao, 18593008, licodione synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Theobroma cacao, 18604820, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Theobroma cacao, 18610896, dihydroflavonol-4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Theobroma cacao, 18591418, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Theobroma cacao, 18589969, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Theobroma cacao, 18606417, ANS; leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Theobroma cacao, 18597033, ANR; anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Theobroma cacao, 18610545, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Theobroma cacao, 18604056, LAR; leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Theobroma cacao, 18593025, UDP-glycosyltransferase 88F4  [EC], ['EC:2.4.1.357'], KO:K22845
Theobroma cacao, 18593028, UDP-glycosyltransferase 88F4  [EC], ['EC:2.4.1.357'], KO:K22845
Theobroma cacao, 18593023, UDP-glycosyltransferase 88F4  [EC], ['EC:2.4.1.357'], KO:K22845
Theobroma cacao, 18587818, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18587819, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 108660761, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 108660776, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18609668, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18609669, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18605051, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18605052, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18605054, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18602309, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18587820, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18587816, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 108662026, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18599181, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18597945, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18597944, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Theobroma cacao, 18599886, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
