Hevea brasiliensis, 110648892, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Hevea brasiliensis, 110640364, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Hevea brasiliensis, 110638830, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Hevea brasiliensis, 110641350, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Hevea brasiliensis, 110633200, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Hevea brasiliensis, 110668057, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Hevea brasiliensis, 110651405, chalcone--flavonone isomerase 2-like isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Hevea brasiliensis, 110633904, probable chalcone--flavonone isomerase 3 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Hevea brasiliensis, 110642838, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Hevea brasiliensis, 110641151, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Hevea brasiliensis, 110654972, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Hevea brasiliensis, 110655043, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Hevea brasiliensis, 110665573, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Hevea brasiliensis, 110653493, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Hevea brasiliensis, 110665143, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Hevea brasiliensis, 110637148, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Hevea brasiliensis, 110647757, non-functional NADPH-dependent codeinone reductase 2-like isoform X1 , [], KO:K08243
Hevea brasiliensis, 110637536, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Hevea brasiliensis, 110670394, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Hevea brasiliensis, 110639710, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Hevea brasiliensis, 110636257, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Hevea brasiliensis, 110635515, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Hevea brasiliensis, 110655218, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Hevea brasiliensis, 110655234, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Hevea brasiliensis, 110638079, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Hevea brasiliensis, 110638080, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Hevea brasiliensis, 110638081, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Hevea brasiliensis, 110653348, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Hevea brasiliensis, 110652792, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Hevea brasiliensis, 110651918, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Hevea brasiliensis, 110640000, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Hevea brasiliensis, 110658083, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Hevea brasiliensis, 110649288, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Hevea brasiliensis, 110666021, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Hevea brasiliensis, 110642627, UDP-glycosyltransferase 88F4-like  [EC], ['EC:2.4.1.357'], KO:K22845
Hevea brasiliensis, 110669034, UDP-glycosyltransferase 88F4-like  [EC], ['EC:2.4.1.357'], KO:K22845
Hevea brasiliensis, 110636943, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110639542, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110639547, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110640502, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110667245, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110667246, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110667252, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110673296, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110651820, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110668544, LOW QUALITY PROTEIN: spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110672657, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110650078, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110655483, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110665296, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110660132, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110666591, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110666593, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110632801, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110634043, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110642610, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110642702, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110668477, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Hevea brasiliensis, 110633683, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Hevea brasiliensis, 110633385, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Hevea brasiliensis, 110634071, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Hevea brasiliensis, 110634084, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Hevea brasiliensis, 110635872, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Hevea brasiliensis, 110641698, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Hevea brasiliensis, 110645232, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Hevea brasiliensis, 110645234, caffeoyl-CoA O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Hevea brasiliensis, 110647281, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Hevea brasiliensis, 110647282, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Hevea brasiliensis, 110667357, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Hevea brasiliensis, 110668325, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
