Lupinus angustifolius, 109354735, phenolic glucoside malonyltransferase 1-like  [EC], ['EC:2.3.1.115'], KO:K13264
Lupinus angustifolius, 109335187, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Lupinus angustifolius, 109353774, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Lupinus angustifolius, 109344553, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Lupinus angustifolius, 109336595, UDP-glycosyltransferase 73C6-like  [EC], ['EC:2.4.1.-'], KO:K22771
Lupinus angustifolius, 109333732, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Lupinus angustifolius, 109343333, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Lupinus angustifolius, 109343335, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Lupinus angustifolius, 109325507, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Lupinus angustifolius, 109333862, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Lupinus angustifolius, 109336024, UDP-glycosyltransferase 79A6-like  [EC], ['EC:2.4.1.159'], KO:K22772
