Prunus dulcis, 117617858, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Prunus dulcis, 117629967, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Prunus dulcis, 117629821, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus dulcis, 117613815, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus dulcis, 117618965, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus dulcis, 117631284, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus dulcis, 117633499, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus dulcis, 117622148, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus dulcis, 117635984, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus dulcis, 117614813, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus dulcis, 117615362, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus dulcis, 117616156, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117616423, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117616448, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117621029, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117621030, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117621118, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117622071, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117633237, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117633527, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117622325, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117622422, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117623120, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117623197, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117623400, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117613712, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117636609, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117615182, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117615218, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117615783, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117615890, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117638260, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus dulcis, 117629116, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus dulcis, 117612862, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus dulcis, 117616059, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus dulcis, 117616060, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus dulcis, 117617636, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus dulcis, 117622259, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus dulcis, 117614082, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus dulcis, 117637711, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus dulcis, 117627267, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus dulcis, 117615965, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus dulcis, 117634287, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus dulcis, 117635064, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus dulcis, 117637812, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus dulcis, 117619927, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus dulcis, 117620745, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus dulcis, 117621321, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus dulcis, 117621323, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus dulcis, 117622111, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus dulcis, 117622175, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus dulcis, 117633627, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Prunus dulcis, 117635935, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Prunus dulcis, 117638131, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Prunus dulcis, 117628001, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus dulcis, 117617464, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus dulcis, 117619155, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus dulcis, 117620318, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus dulcis, 117613038, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus dulcis, 117625659, anthranilate N-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus dulcis, 117625687, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus dulcis, 117615943, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus dulcis, 117616420, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus dulcis, 117630922, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus dulcis, 117622996, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus dulcis, 117636675, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus dulcis, 117627236, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus dulcis, 117626552, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Prunus dulcis, 117626558, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Prunus dulcis, 117614981, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Prunus dulcis, 117627585, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Prunus dulcis, 117616529, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117616573, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117616612, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117628556, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117628629, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117618403, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117618493, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117629341, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117629844, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117619139, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117630723, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117619558, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117630966, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117631128, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117631129, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus dulcis, 117631315, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
