Medicago truncatula, MTR_1g094780, phenylalanine ammonia-lyase-like protein  [EC], ['EC:4.3.1.24'], KO:K10775
Medicago truncatula, MTR_7g101395, phenylalanine ammonia-lyase-like protein  [EC], ['EC:4.3.1.24'], KO:K10775
Medicago truncatula, MTR_7g101425, phenylalanine ammonia-lyase-like protein  [EC], ['EC:4.3.1.24'], KO:K10775
Medicago truncatula, MTR_2g094960, phenylalanine ammonia-lyase-like protein  [EC], ['EC:4.3.1.24'], KO:K10775
Medicago truncatula, MTR_1g064090, phenylalanine ammonia-lyase-like protein  [EC], ['EC:4.3.1.24'], KO:K10775
Medicago truncatula, MTR_5g098720, phenylalanine ammonia-lyase-like protein  [EC], ['EC:4.3.1.24'], KO:K10775
Medicago truncatula, MTR_1g111240, cytochrome P450 family cinnamate 4-hydroxylase  [EC], ['EC:1.14.14.91'], KO:K00487
Medicago truncatula, MTR_5g075450, cytochrome P450 family cinnamate 4-hydroxylase  [EC], ['EC:1.14.14.91'], KO:K00487
Medicago truncatula, MTR_5g007640, 4-coumarate:CoA ligase-like protein  [EC], ['EC:6.2.1.12'], KO:K01904
Medicago truncatula, MTR_5g027500, acyl:CoA ligase  [EC], ['EC:6.2.1.12'], KO:K01904
Medicago truncatula, MTR_4g077900, acyl:CoA ligase  [EC], ['EC:6.2.1.12'], KO:K01904
Medicago truncatula, MTR_4g128337, 4-coumarate:CoA ligase-like protein  [EC], ['EC:6.2.1.12'], KO:K01904
Medicago truncatula, MTR_4g057730, 4-coumarate:CoA ligase-like protein  [EC], ['EC:6.2.1.12'], KO:K01904
Medicago truncatula, MTR_5g027480, acyl:CoA ligase  [EC], ['EC:6.2.1.12'], KO:K01904
Medicago truncatula, MTR_4g005750, 4-coumarate:CoA ligase-like protein  [EC], ['EC:6.2.1.12'], KO:K01904
Medicago truncatula, MTR_3g460770, 4-coumarate:CoA ligase-like protein  [EC], ['EC:6.2.1.12'], KO:K01904
Medicago truncatula, MTR_2g105570, 4-coumarate:CoA ligase-like protein  [EC], ['EC:6.2.1.12'], KO:K01904
Medicago truncatula, MTR_2g095510, 4-coumarate:CoA ligase-like protein  [EC], ['EC:6.2.1.12'], KO:K01904
