Ipomoea nil (Japanese morning glory), CHS-E, chalcone synthase E, KO:K00660, EC:2.3.1.74, Ipomoea nil (Japanese morning glory), CHSB, chalcone synthase B, 
KO:K00660, EC:2.3.1.74, Ipomoea nil (Japanese morning glory), CHSA, chalcone synthase A, KO:K00660, EC:2.3.1.74, 
Ipomoea nil (Japanese morning glory), chalcone synthase A-like, KO:K00660, EC:2.3.1.74, Ipomoea nil (Japanese morning glory), CHS-D, chalcone synthase D, 
KO:K00660, EC:2.3.1.74, Ipomoea nil (Japanese morning glory), EFP, probable chalcone--flavonone isomerase 3, KO:K01859, EC:5.5.1.6, 
Ipomoea nil (Japanese morning glory), chalcone--flavonone isomerase, KO:K01859, EC:5.5.1.6, Ipomoea nil (Japanese morning glory), naringenin,2-oxoglutarate 3-dioxygenase-like, KO:K00475, 
EC:1.14.11.9, Ipomoea nil (Japanese morning glory), F3H, naringenin,2-oxoglutarate 3-dioxygenase-like, KO:K00475, EC:1.14.11.9, Ipomoea nil (Japanese morning glory), 
naringenin,2-oxoglutarate 3-dioxygenase-like, KO:K00475, EC:1.14.11.9, Ipomoea nil (Japanese morning glory), flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, EC:1.14.20.6, 
Ipomoea nil (Japanese morning glory), cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Ipomoea nil (Japanese morning glory), trans-cinnamate 4-monooxygenase-like, KO:K00487, 
EC:1.14.14.91, Ipomoea nil (Japanese morning glory), trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Ipomoea nil (Japanese morning glory), Magenta, 
flavonoid 3'-monooxygenase, KO:K05280, EC:1.14.14.82, Ipomoea nil (Japanese morning glory), DFR-A, dihydroflavonol 4-reductase-like, KO:K13082, 
EC:1.1.1.219 1.1.1.234, Ipomoea nil (Japanese morning glory), DFR-B, dihydroflavonol 4-reductase-like, KO:K13082, EC:1.1.1.219 1.1.1.234, Ipomoea nil (Japanese morning glory), 
DFR-C, dihydroflavonol 4-reductase-like, KO:K13082, EC:1.1.1.219 1.1.1.234, Ipomoea nil (Japanese morning glory), ANS, leucoanthocyanidin dioxygenase-like, 
KO:K05277, EC:1.14.20.4, Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, 
EC:2.3.1.133, Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Ipomoea nil (Japanese morning glory), vinorine synthase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), spermidine hydroxycinnamoyl transferase-like, 
KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), 
spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Ipomoea nil (Japanese morning glory), spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, 
