Glycine Soja (Wild Soybean), 2-hydroxyisoflavanone synthase-like, KO:K13257, EC:1.14.14.87, Glycine Soja (Wild Soybean), 2-hydroxyisoflavanone synthase, KO:K13257, EC:1.14.14.87, 
Glycine Soja (Wild Soybean), 2-hydroxyisoflavanone synthase, KO:K13257, EC:1.14.14.87, Glycine Soja (Wild Soybean), 2-hydroxyisoflavanone dehydratase, KO:K13258, 
EC:4.2.1.105, Glycine Soja (Wild Soybean), isoflavone 4'-O-methyltransferase-like, KO:K13259, EC:2.1.1.212 2.1.1.46, Glycine Soja (Wild Soybean), isoflavone 4'-O-methyltransferase-like, 
KO:K13259, EC:2.1.1.212 2.1.1.46, Glycine Soja (Wild Soybean), isoflavone 3'-hydroxylase-like, KO:K22932, EC:1.14.14.88, Glycine Soja (Wild Soybean), 
cytochrome P450 81E8-like, KO:K13260, EC:1.14.14.90 1.14.14.89, Glycine Soja (Wild Soybean), isoflavone 2'-hydroxylase-like, KO:K13260, EC:1.14.14.90 1.14.14.89, 
Glycine Soja (Wild Soybean), isoflavone 2'-hydroxylase-like, KO:K13260, EC:1.14.14.90 1.14.14.89, Glycine Soja (Wild Soybean), isoflavone 2'-hydroxylase-like, KO:K13260, 
EC:1.14.14.90 1.14.14.89, Glycine Soja (Wild Soybean), cytochrome P450 81E8-like, KO:K13260, EC:1.14.14.90 1.14.14.89, Glycine Soja (Wild Soybean), 3,9-dihydroxypterocarpan 6A-monooxygenase, 
KO:K13261, EC:1.14.14.93, Glycine Soja (Wild Soybean), 3,9-dihydroxypterocarpan 6A-monooxygenase-like, KO:K13261, EC:1.14.14.93, Glycine Soja (Wild Soybean), 
isoflavone 7-O-methyltransferase-like, KO:K13262, EC:2.1.1.150, Glycine Soja (Wild Soybean), isoflavone-7-O-methyltransferase 6-like, KO:K13262, EC:2.1.1.150, 
Glycine Soja (Wild Soybean), isoflavone 7-O-methyltransferase-like, KO:K13262, EC:2.1.1.150, Glycine Soja (Wild Soybean), isoflavone 7-O-methyltransferase-like, KO:K13262, 
EC:2.1.1.150, Glycine Soja (Wild Soybean), isoflavone-7-O-methyltransferase 6-like, KO:K13262, EC:2.1.1.150, Glycine Soja (Wild Soybean), flavonoid 4'-O-methyltransferase-like, 
KO:K13262, EC:2.1.1.150, Glycine Soja (Wild Soybean), isoflavone 7-O-methyltransferase-like, KO:K13262, EC:2.1.1.150, Glycine Soja (Wild Soybean), 
isoflavone-7-O-methyltransferase 6-like, KO:K13262, EC:2.1.1.150, Glycine Soja (Wild Soybean), isoflavone-7-O-methyltransferase 9-like, KO:K13262, EC:2.1.1.150, 
Glycine Soja (Wild Soybean), isoflavone 7-O-methyltransferase-like, KO:K13262, EC:2.1.1.150, Glycine Soja (Wild Soybean), isoflavone 7-O-methyltransferase-like, KO:K13262, 
EC:2.1.1.150, Glycine Soja (Wild Soybean), isoflavone-7-O-methyltransferase 6-like, KO:K13262, EC:2.1.1.150, Glycine Soja (Wild Soybean), isoflavone-7-O-methyltransferase 6-like, 
KO:K13262, EC:2.1.1.150, Glycine Soja (Wild Soybean), isoflavone 7-O-glucosyltransferase 1, KO:K13263, EC:2.4.1.170, Glycine Soja (Wild Soybean), 
isoflavone 7-O-glucosyltransferase 1-like, KO:K13263, EC:2.4.1.170, Glycine Soja (Wild Soybean), isoflavone 7-O-glucosyltransferase 1-like, KO:K13263, EC:2.4.1.170, 
Glycine Soja (Wild Soybean), phenolic glucoside malonyltransferase 1-like, KO:K13264, EC:2.3.1.115, Glycine Soja (Wild Soybean), phenolic glucoside malonyltransferase 1-like, KO:K13264, 
EC:2.3.1.115, Glycine Soja (Wild Soybean), vestitone reductase-like, KO:K13265, EC:1.1.1.348, Glycine Soja (Wild Soybean), vestitone reductase-like, 
KO:K13265, EC:1.1.1.348, Glycine Soja (Wild Soybean), vestitone reductase-like, KO:K13265, EC:1.1.1.348, Glycine Soja (Wild Soybean), 
vestitone reductase-like, KO:K13265, EC:1.1.1.348, Glycine Soja (Wild Soybean), cytochrome P450 71D9-like, KO:K13267, EC:1.14.13.-, 
Glycine Soja (Wild Soybean), cytochrome P450 71D9-like, KO:K13267, EC:1.14.13.-, Glycine Soja (Wild Soybean), cytochrome P450 71D9, KO:K13267, 
EC:1.14.13.-, Glycine Soja (Wild Soybean), licodione synthase-like, KO:K23179, EC:1.14.19.76, 
