Sorghum bicolor, 8064814, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Sorghum bicolor, 8069670, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Sorghum bicolor, 8056976, chalcone synthase 4  [EC], ['EC:2.3.1.74'], KO:K00660
Sorghum bicolor, 8056975, chalcone synthase 5  [EC], ['EC:2.3.1.74'], KO:K00660
Sorghum bicolor, 8064820, chalcone synthase 6  [EC], ['EC:2.3.1.74'], KO:K00660
Sorghum bicolor, 8064818, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Sorghum bicolor, 8064815, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Sorghum bicolor, 8064816, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Sorghum bicolor, 8064817, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Sorghum bicolor, 8064819, chalcone synthase 7  [EC], ['EC:2.3.1.74'], KO:K00660
Sorghum bicolor, 8060076, chalcone synthase isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Sorghum bicolor, 8056971, bisdemethoxycurcumin synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Sorghum bicolor, 8057048, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Sorghum bicolor, 110429758, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Sorghum bicolor, 8078926, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Sorghum bicolor, 8085395, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Sorghum bicolor, 8084483, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Sorghum bicolor, 8059757, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Sorghum bicolor, 8070599, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Sorghum bicolor, 8056468, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Sorghum bicolor, 8070594, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Sorghum bicolor, 8072541, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Sorghum bicolor, 8058202, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Sorghum bicolor, 8058203, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Sorghum bicolor, 8076097, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Sorghum bicolor, 8075972, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Sorghum bicolor, 8056944, 3,9-dihydroxypterocarpan 6A-monooxygenase  [EC], ['EC:1.14.19.76'], KO:K23180
Sorghum bicolor, 8080780, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Sorghum bicolor, 8082602, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Sorghum bicolor, 8074150, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Sorghum bicolor, 8066842, uncharacterized protein LOC8066842  [EC], ['EC:1.3.1.77'], KO:K08695
Sorghum bicolor, 110436259, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Sorghum bicolor, 8066840, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Sorghum bicolor, 8066846, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Sorghum bicolor, 8066844, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Sorghum bicolor, 8066841, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Sorghum bicolor, 8085307, naringenin 7-O-methyltransferase  [EC], ['EC:2.1.1.232'], KO:K22440
Sorghum bicolor, 8059672, hydroxycinnamoyltransferase 2  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8075889, hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8065424, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8065423, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8076209, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8077854, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8080611, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8059216, hydroxycinnamoyltransferase 4 isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8060773, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8073346, hydroxycinnamoyltransferase 4 isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8061352, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8081980, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8054592, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8060265, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8060267, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8155732, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 110433669, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 110433670, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8060780, hydroxycinnamoyltransferase 4 isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8060777, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Sorghum bicolor, 8077042, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Sorghum bicolor, 8082405, cytochrome P450 98A1-like  [EC], ['EC:1.14.14.96'], KO:K09754
Sorghum bicolor, 8070884, caffeoyl-CoA O-methyltransferase 1 isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Sorghum bicolor, 8063763, caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
