Arabidopsis thaliana, AT5G13930, TT4; Chalcone and stilbene synthase family protein  [EC], ['EC:2.3.1.74'], KO:K00660
Arabidopsis thaliana, AT5G66220, Chalcone-flavanone isomerase family protein  [EC], ['EC:5.5.1.6'], KO:K01859
Arabidopsis thaliana, AT3G55120, TT5; Chalcone-flavanone isomerase family protein  [EC], ['EC:5.5.1.6'], KO:K01859
Arabidopsis thaliana, AT5G05270, CHIL; Chalcone-flavanone isomerase family protein  [EC], ['EC:5.5.1.6'], KO:K01859
Arabidopsis thaliana, AT3G51240, F3H; flavanone 3-hydroxylase  [EC], ['EC:1.14.11.9'], KO:K00475
Arabidopsis thaliana, AT5G08640, FLS1; flavonol synthase 1  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis thaliana, AT5G63590, FLS3; flavonol synthase 3  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis thaliana, AT5G43935, FLS6; flavonol synthase 6  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis thaliana, AT5G63600, FLS5; flavonol synthase 5  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis thaliana, AT5G63595, FLS4; flavonol synthase 4  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis thaliana, AT5G63580, FLS2; flavonol synthase 2  [EC], ['EC:1.14.20.6'], KO:K05278
Arabidopsis thaliana, AT2G30490, C4H; cinnamate-4-hydroxylase  [EC], ['EC:1.14.14.91'], KO:K00487
Arabidopsis thaliana, AT5G07990, TT7; Cytochrome P450 superfamily protein  [EC], ['EC:1.14.14.82'], KO:K05280
Arabidopsis thaliana, AT5G42800, DFR; dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Arabidopsis thaliana, AT4G22870, 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein  [EC], ['EC:1.14.20.4'], KO:K05277
Arabidopsis thaliana, AT4G22880, LDOX; leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Arabidopsis thaliana, AT1G61720, BAN; NAD(P)-binding Rossmann-fold superfamily protein  [EC], ['EC:1.3.1.77'], KO:K08695
Arabidopsis thaliana, AT5G48930, HCT; hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arabidopsis thaliana, AT2G19070, SHT; spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Arabidopsis thaliana, AT5G57840, HXXXD-type acyl-transferase family protein  [EC], ['EC:2.3.1.133'], KO:K13065
Arabidopsis thaliana, AT2G40890, CYP98A3; cytochrome P450, family 98, subfamily A, polypeptide 3  [EC], ['EC:1.14.14.96'], KO:K09754
Arabidopsis thaliana, AT4G34050, CCoAOMT1; S-adenosyl-L-methionine-dependent methyltransferases superfamily protein  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis thaliana, AT1G24735, S-adenosyl-L-methionine-dependent methyltransferases superfamily protein  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis thaliana, AT1G67980, CCOAMT; caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Arabidopsis thaliana, AT4G26220, S-adenosyl-L-methionine-dependent methyltransferases superfamily protein  [EC], ['EC:2.1.1.104'], KO:K00588
