Citrus sinensis, 102607309, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus sinensis, 102620619, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus sinensis, 102626778, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus sinensis, 102626876, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus sinensis, 102612856, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus sinensis, 102613437, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus sinensis, 102629616, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus sinensis, 102616330, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus sinensis, 102616623, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus sinensis, 102606708, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Citrus sinensis, 102615441, CHI; chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Citrus sinensis, 102613490, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Citrus sinensis, 102617426, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Citrus sinensis, 102626432, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Citrus sinensis, 102618406, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Citrus sinensis, 102629970, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Citrus sinensis, 102578013, C4H2; cinnamate 4-hydroxylase CYP73  [EC], ['EC:1.14.14.91'], KO:K00487
Citrus sinensis, 102577934, C4H1; cinnamate 4-hydroxylase CYP73  [EC], ['EC:1.14.14.91'], KO:K00487
Citrus sinensis, 102609972, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Citrus sinensis, 102611200, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Citrus sinensis, 102620909, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Citrus sinensis, 102578060, dihydroflavonol-4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Citrus sinensis, 102627616, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Citrus sinensis, 102577958, anthocyanidin synthase  [EC], ['EC:1.14.20.4'], KO:K05277
Citrus sinensis, 102618954, anthocyanidin reductase ((2S)-flavan-3-ol-forming) isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Citrus sinensis, 102621411, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Citrus sinensis, 102623228, flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like  [EC], ['EC:2.4.1.236'], KO:K13080
Citrus sinensis, 102615848, LOW QUALITY PROTEIN: flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like  [EC], ['EC:2.4.1.236'], KO:K13080
Citrus sinensis, 102628772, UDP-glycosyltransferase 88B1-like  [EC], ['EC:2.4.1.357'], KO:K22845
Citrus sinensis, 102617597, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102618272, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102624810, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102623263, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102606780, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102626487, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102616683, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102616979, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102621641, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102621938, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102613844, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102614148, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102619195, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
