Pyrus x bretschneideri, chalcone synthase-like, KO:K00660, EC:2.3.1.74, Pyrus x bretschneideri, chalcone synthase, KO:K00660, EC:2.3.1.74, 
Pyrus x bretschneideri, chalcone synthase-like, KO:K00660, EC:2.3.1.74, Pyrus x bretschneideri, chalcone synthase-like, KO:K00660, 
EC:2.3.1.74, Pyrus x bretschneideri, polyketide synthase 5, KO:K00660, EC:2.3.1.74, Pyrus x bretschneideri, polyketide synthase 5-like, 
KO:K00660, EC:2.3.1.74, Pyrus x bretschneideri, chalcone--flavonone isomerase-like, KO:K01859, EC:5.5.1.6, Pyrus x bretschneideri, 
probable chalcone--flavonone isomerase 3 isoform X2, KO:K01859, EC:5.5.1.6, Pyrus x bretschneideri, chalcone--flavonone isomerase, KO:K01859, EC:5.5.1.6, 
Pyrus x bretschneideri, probable chalcone--flavonone isomerase 3 isoform X2, KO:K01859, EC:5.5.1.6, Pyrus x bretschneideri, probable chalcone--flavonone isomerase 3 isoform X1, KO:K01859, 
EC:5.5.1.6, Pyrus x bretschneideri, naringenin,2-oxoglutarate 3-dioxygenase, KO:K00475, EC:1.14.11.9, Pyrus x bretschneideri, flavonol synthase/flavanone 3-hydroxylase, 
KO:K05278, EC:1.14.20.6, Pyrus x bretschneideri, flavonol synthase/flavanone 3-hydroxylase, KO:K05278, EC:1.14.20.6, Pyrus x bretschneideri, 
trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Pyrus x bretschneideri, trans-cinnamate 4-monooxygenase-like isoform X2, KO:K00487, EC:1.14.14.91, 
Pyrus x bretschneideri, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Pyrus x bretschneideri, flavonoid 3'-monooxygenase, KO:K05280, 
EC:1.14.14.82, Pyrus x bretschneideri, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase, KO:K13082, EC:1.1.1.219 1.1.1.234, Pyrus x bretschneideri, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like, 
KO:K13082, EC:1.1.1.219 1.1.1.234, Pyrus x bretschneideri, leucoanthocyanidin dioxygenase, KO:K05277, EC:1.14.20.4, Pyrus x bretschneideri, 
anthocyanidin reductase-like, KO:K08695, EC:1.3.1.77, Pyrus x bretschneideri, anthocyanidin reductase-like, KO:K08695, EC:1.3.1.77, 
Pyrus x bretschneideri, leucoanthocyanidin reductase-like isoform X1, KO:K13081, EC:1.17.1.3, Pyrus x bretschneideri, leucoanthocyanidin reductase-like, KO:K13081, 
EC:1.17.1.3, Pyrus x bretschneideri, leucoanthocyanidin reductase-like, KO:K13081, EC:1.17.1.3, Pyrus x bretschneideri, UDP-glycosyltransferase 88F3, 
KO:K22845, EC:2.4.1.357, Pyrus x bretschneideri, UDP-glycosyltransferase 88F5-like isoform X1, KO:K22845, EC:2.4.1.357, Pyrus x bretschneideri, 
UDP-glycosyltransferase 88F4-like, KO:K22845, EC:2.4.1.357, Pyrus x bretschneideri, UDP-glycosyltransferase 88F3-like, KO:K22845, EC:2.4.1.357, 
Pyrus x bretschneideri, UDP-glycosyltransferase 88A1-like, KO:K22845, EC:2.4.1.357, Pyrus x bretschneideri, HCT3, shikimate O-hydroxycinnamoyltransferase-like, 
KO:K13065, EC:2.3.1.133, Pyrus x bretschneideri, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Pyrus x bretschneideri, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Pyrus x bretschneideri, spermidine hydroxycinnamoyl transferase, KO:K13065, EC:2.3.1.133, 
Pyrus x bretschneideri, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Pyrus x bretschneideri, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, 
EC:2.3.1.133, Pyrus x bretschneideri, BAHD acyltransferase At5g47980-like, KO:K13065, EC:2.3.1.133, Pyrus x bretschneideri, acylsugar acyltransferase 3-like, 
KO:K13065, EC:2.3.1.133, Pyrus x bretschneideri, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Pyrus x bretschneideri, 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Pyrus x bretschneideri, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Pyrus x bretschneideri, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Pyrus x bretschneideri, vinorine synthase-like, KO:K13065, 
