Amborella trichopoda, 18428598, chalcone synthase 1, KO:K00660, EC:2.3.1.74, Amborella trichopoda, 18444038, chalcone synthase 1 isoform X2, 
KO:K00660, EC:2.3.1.74, Amborella trichopoda, 105421766, chalcone synthase-like, KO:K00660, EC:2.3.1.74, 
Amborella trichopoda, 18440411, chalcone--flavonone isomerase, KO:K01859, EC:5.5.1.6, Amborella trichopoda, 18440412, 
chalcone--flavonone isomerase, KO:K01859, EC:5.5.1.6, Amborella trichopoda, 18440481, chalcone--flavonone isomerase isoform X1, KO:K01859, 
EC:5.5.1.6, Amborella trichopoda, 18432300, probable chalcone--flavonone isomerase 3 isoform X1, KO:K01859, EC:5.5.1.6, Amborella trichopoda, 
18441761, naringenin,2-oxoglutarate 3-dioxygenase, KO:K00475, EC:1.14.11.9, Amborella trichopoda, 18441765, naringenin,2-oxoglutarate 3-dioxygenase, 
KO:K00475, EC:1.14.11.9, Amborella trichopoda, 18426066, flavonol synthase/flavanone 3-hydroxylase, KO:K05278, EC:1.14.20.6, 
Amborella trichopoda, 18425268, flavonol synthase/flavanone 3-hydroxylase, KO:K05278, EC:1.14.20.6, Amborella trichopoda, 18425281, 
flavonol synthase/flavanone 3-hydroxylase, KO:K05278, EC:1.14.20.6, Amborella trichopoda, 18440762, cytochrome P450 CYP73A100, KO:K00487, 
EC:1.14.14.91, Amborella trichopoda, 18432337, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Amborella trichopoda, 
18428045, flavonoid 3'-monooxygenase, KO:K05280, EC:1.14.14.82, Amborella trichopoda, 18422618, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase, 
KO:K13082, EC:1.1.1.219 1.1.1.234, Amborella trichopoda, 18422620, dihydroflavonol 4-reductase, KO:K13082, EC:1.1.1.219 1.1.1.234, 
Amborella trichopoda, 18422615, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase, KO:K13082, EC:1.1.1.219 1.1.1.234, Amborella trichopoda, 18424242, 
leucoanthocyanidin dioxygenase, KO:K05277, EC:1.14.20.4, Amborella trichopoda, 18427888, anthocyanidin reductase ((2S)-flavan-3-ol-forming), KO:K08695, 
EC:1.3.1.77, Amborella trichopoda, 18423736, leucoanthocyanidin reductase, KO:K13081, EC:1.17.1.3, Amborella trichopoda, 
18433180, UDP-glycosyltransferase 88B1, KO:K22845, EC:2.4.1.357, Amborella trichopoda, 18433176, anthocyanidin 5,3-O-glucosyltransferase, 
KO:K22845, EC:2.4.1.357, Amborella trichopoda, 18429888, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Amborella trichopoda, 18429918, BAHD acyltransferase At5g47980, KO:K13065, EC:2.3.1.133, Amborella trichopoda, 18442729, 
vinorine synthase, KO:K13065, EC:2.3.1.133, Amborella trichopoda, 18442780, agmatine coumaroyltransferase-1, KO:K13065, 
EC:2.3.1.133, Amborella trichopoda, 18421837, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Amborella trichopoda, 
18429415, agmatine coumaroyltransferase-1, KO:K13065, EC:2.3.1.133, Amborella trichopoda, 18429417, agmatine hydroxycinnamoyltransferase 1, 
KO:K13065, EC:2.3.1.133, Amborella trichopoda, 18429419, agmatine coumaroyltransferase-1, KO:K13065, EC:2.3.1.133, 
Amborella trichopoda, 18429420, agmatine hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, Amborella trichopoda, 18434870, 
tryptamine hydroxycinnamoyltransferase 1, KO:K13065, EC:2.3.1.133, Amborella trichopoda, 18434871, tryptamine hydroxycinnamoyltransferase 1, KO:K13065, 
EC:2.3.1.133, Amborella trichopoda, 18427105, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Amborella trichopoda, 
18441256, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Amborella trichopoda, 18446300, caffeoyl-CoA O-methyltransferase, 
KO:K00588, EC:2.1.1.104, Amborella trichopoda, 18443747, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, 
Amborella trichopoda, 18443743, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Amborella trichopoda, 18443741, 
probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Amborella trichopoda, 18443744, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, 
EC:2.1.1.104, 
