Nicotiana sylvestris, chalcone synthase G-like, KO:K00660, EC:2.3.1.74, Nicotiana sylvestris, chalcone synthase A, KO:K00660, EC:2.3.1.74, 
Nicotiana sylvestris, chalcone synthase 2, KO:K00660, EC:2.3.1.74, Nicotiana sylvestris, chalcone synthase G-like, KO:K00660, 
EC:2.3.1.74, Nicotiana sylvestris, probable chalcone--flavonone isomerase 3, KO:K01859, EC:5.5.1.6, Nicotiana sylvestris, chalcone--flavonone isomerase, 
KO:K01859, EC:5.5.1.6, Nicotiana sylvestris, naringenin,2-oxoglutarate 3-dioxygenase, KO:K00475, EC:1.14.11.9, Nicotiana sylvestris, 
flavonol synthase/flavanone 3-hydroxylase, KO:K05278, EC:1.14.20.6, Nicotiana sylvestris, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, 
Nicotiana sylvestris, cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Nicotiana sylvestris, trans-cinnamate 4-monooxygenase, KO:K00487, 
EC:1.14.14.91, Nicotiana sylvestris, flavonoid 3'-monooxygenase, KO:K05280, EC:1.14.14.82, Nicotiana sylvestris, LOW QUALITY PROTEIN: flavonoid 3'-monooxygenase-like, 
KO:K05280, EC:1.14.14.82, Nicotiana sylvestris, dihydroflavonol-4-reductase, KO:K13082, EC:1.1.1.219 1.1.1.234, Nicotiana sylvestris, 
flavonoid 3',5'-hydroxylase 1, KO:K13083, EC:1.14.14.81, Nicotiana sylvestris, leucoanthocyanidin dioxygenase, KO:K05277, EC:1.14.20.4, 
Nicotiana sylvestris, anthocyanidin reductase, KO:K08695, EC:1.3.1.77, Nicotiana sylvestris, leucoanthocyanidin reductase-like isoform X1, KO:K13081, 
EC:1.17.1.3, Nicotiana sylvestris, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, 
deacetylvindoline O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, 
Nicotiana sylvestris, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, agmatine coumaroyltransferase-2-like, KO:K13065, 
EC:2.3.1.133, Nicotiana sylvestris, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, deacetylvindoline O-acetyltransferase-like, 
KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, 
spermidine hydroxycinnamoyl transferase, KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, 
Nicotiana sylvestris, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Nicotiana sylvestris, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, deacetylvindoline O-acetyltransferase-like, 
KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, 
salutaridinol 7-O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Nicotiana sylvestris, deacetylvindoline O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, 
EC:2.3.1.133, Nicotiana sylvestris, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Nicotiana sylvestris, cytochrome P450 98A2-like isoform X1, 
KO:K09754, EC:1.14.14.96, Nicotiana sylvestris, cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, Nicotiana sylvestris, 
cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, Nicotiana sylvestris, cytochrome P450 98A2-like, KO:K09754, EC:1.14.14.96, 
Nicotiana sylvestris, caffeoyl-CoA O-methyltransferase 5, KO:K00588, EC:2.1.1.104, Nicotiana sylvestris, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, 
EC:2.1.1.104, Nicotiana sylvestris, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Nicotiana sylvestris, probable caffeoyl-CoA O-methyltransferase At4g26220, 
KO:K00588, EC:2.1.1.104, Nicotiana sylvestris, caffeoyl-CoA O-methyltransferase 3-like, KO:K00588, EC:2.1.1.104, Nicotiana sylvestris, 
caffeoyl-CoA O-methyltransferase 6, KO:K00588, EC:2.1.1.104, Nicotiana sylvestris, caffeoyl-CoA O-methyltransferase 4 isoform X1, KO:K00588, EC:2.1.1.104, 
Nicotiana sylvestris, caffeoyl-CoA O-methyltransferase 1, KO:K00588, EC:2.1.1.104, Nicotiana sylvestris, caffeoyl-CoA O-methyltransferase 1-like, KO:K00588, 
EC:2.1.1.104, 
