Pyrus x bretschneideri, 103965055, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pyrus x bretschneideri, 103945020, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Pyrus x bretschneideri, 103945021, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pyrus x bretschneideri, 103959489, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pyrus x bretschneideri, 103965056, polyketide synthase 5  [EC], ['EC:2.3.1.74'], KO:K00660
Pyrus x bretschneideri, 103965057, polyketide synthase 5-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pyrus x bretschneideri, 103928583, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Pyrus x bretschneideri, 103953803, probable chalcone--flavonone isomerase 3 isoform X2  [EC], ['EC:5.5.1.6'], KO:K01859
Pyrus x bretschneideri, 103936753, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Pyrus x bretschneideri, 103953741, probable chalcone--flavonone isomerase 3 isoform X2  [EC], ['EC:5.5.1.6'], KO:K01859
Pyrus x bretschneideri, 103940646, probable chalcone--flavonone isomerase 3 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Pyrus x bretschneideri, 103953484, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Pyrus x bretschneideri, 103933697, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Pyrus x bretschneideri, 103956721, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Pyrus x bretschneideri, 103945990, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Pyrus x bretschneideri, 103945999, trans-cinnamate 4-monooxygenase-like isoform X2  [EC], ['EC:1.14.14.91'], KO:K00487
Pyrus x bretschneideri, 103963306, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Pyrus x bretschneideri, 103930751, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Pyrus x bretschneideri, 103954960, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Pyrus x bretschneideri, 103928717, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Pyrus x bretschneideri, 103952863, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Pyrus x bretschneideri, 103957769, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Pyrus x bretschneideri, 103957850, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Pyrus x bretschneideri, 103938522, leucoanthocyanidin reductase-like isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Pyrus x bretschneideri, 103947071, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Pyrus x bretschneideri, 103929197, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Pyrus x bretschneideri, 103952554, UDP-glycosyltransferase 88F3  [EC], ['EC:2.4.1.357'], KO:K22845
Pyrus x bretschneideri, 103967781, UDP-glycosyltransferase 88F5-like isoform X1  [EC], ['EC:2.4.1.357'], KO:K22845
Pyrus x bretschneideri, 103967800, UDP-glycosyltransferase 88F4-like  [EC], ['EC:2.4.1.357'], KO:K22845
Pyrus x bretschneideri, 103967813, UDP-glycosyltransferase 88F3-like  [EC], ['EC:2.4.1.357'], KO:K22845
Pyrus x bretschneideri, 103945380, HCT3; shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103934740, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103934745, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103949358, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103949878, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103945376, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103948996, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103955861, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103955862, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103955880, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103960633, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103960622, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103955102, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103964288, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Pyrus x bretschneideri, 103946365, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Pyrus x bretschneideri, 103946366, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Pyrus x bretschneideri, 103944996, cytochrome P450 98A2 isoform X1  [EC], ['EC:1.14.14.96'], KO:K09754
Pyrus x bretschneideri, 103944997, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Pyrus x bretschneideri, 103944999, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Pyrus x bretschneideri, 103961472, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Pyrus x bretschneideri, 103965012, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Pyrus x bretschneideri, 103933993, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Pyrus x bretschneideri, 103936907, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Pyrus x bretschneideri, 103936908, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Pyrus x bretschneideri, 103929948, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
