Brachypodium distachyon, 100829639, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Brachypodium distachyon, 100839250, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Brachypodium distachyon, 100840048, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Brachypodium distachyon, 100823527, flavanone 3-dioxygenase 1  [EC], ['EC:1.14.11.9'], KO:K00475
Brachypodium distachyon, 100831956, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Brachypodium distachyon, 100833073, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brachypodium distachyon, 100839986, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brachypodium distachyon, 100832881, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Brachypodium distachyon, 100832738, flavonoid 3'-monooxygenase CYP75B4  [EC], ['EC:1.14.14.82'], KO:K05280
Brachypodium distachyon, 100840140, flavonoid 3'-monooxygenase CYP75B3  [EC], ['EC:1.14.14.82'], KO:K05280
Brachypodium distachyon, 100844617, flavonoid 3'-monooxygenase CYP75B4  [EC], ['EC:1.14.14.82'], KO:K05280
Brachypodium distachyon, 104583406, flavonoid 3'-monooxygenase CYP75B3  [EC], ['EC:1.14.14.82'], KO:K05280
Brachypodium distachyon, 100845692, dihydroflavonol 4-reductase isoform X2  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Brachypodium distachyon, 100841298, cytochrome P450 93G1  [EC], ['EC:1.14.19.76'], KO:K23180
Brachypodium distachyon, 100832240, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Brachypodium distachyon, 100842616, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Brachypodium distachyon, 100835070, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Brachypodium distachyon, 100834459, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Brachypodium distachyon, 100834762, anthocyanidin reductase ((2S)-flavan-3-ol-forming) isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Brachypodium distachyon, 100839668, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Brachypodium distachyon, 100823638, hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100821527, hydroxycinnamoyltransferase 2  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100821782, tryptamine benzoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100822405, tryptamine benzoyltransferase 2  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100822605, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100824165, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100835822, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100845790, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100831871, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100843305, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100821365, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100845484, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100835513, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 112268498, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brachypodium distachyon, 100835531, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Brachypodium distachyon, 100843210, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Brachypodium distachyon, 100821481, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Brachypodium distachyon, 100834223, tricin synthase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Brachypodium distachyon, 100834523, tricin synthase 1  [EC], ['EC:2.1.1.104'], KO:K00588
