Aegilops tauschii, LOC109739868, chalcone synthase 2, KO:K00660, EC:2.3.1.74, Aegilops tauschii, LOC109739869, chalcone synthase 2-like, 
KO:K00660, EC:2.3.1.74, Aegilops tauschii, LOC109758766, chalcone synthase 2-like, KO:K00660, EC:2.3.1.74, 
Aegilops tauschii, LOC109780460, chalcone synthase 2-like, KO:K00660, EC:2.3.1.74, Aegilops tauschii, LOC109768285, 
chalcone synthase 2-like, KO:K00660, EC:2.3.1.74, Aegilops tauschii, LOC109768286, chalcone synthase 2-like, KO:K00660, 
EC:2.3.1.74, Aegilops tauschii, LOC109787049, chalcone synthase 2-like, KO:K00660, EC:2.3.1.74, Aegilops tauschii, 
LOC109743740, chalcone synthase 2-like, KO:K00660, EC:2.3.1.74, Aegilops tauschii, LOC109775497, chalcone synthase 2-like, 
KO:K00660, EC:2.3.1.74, Aegilops tauschii, LOC109775499, chalcone synthase 2-like, KO:K00660, EC:2.3.1.74, 
Aegilops tauschii, LOC109775501, chalcone synthase 2-like, KO:K00660, EC:2.3.1.74, Aegilops tauschii, LOC109743836, 
chalcone synthase 2-like, KO:K00660, EC:2.3.1.74, Aegilops tauschii, LOC109752472, chalcone synthase 2, KO:K00660, 
EC:2.3.1.74, Aegilops tauschii, LOC109752473, chalcone synthase 2-like, KO:K00660, EC:2.3.1.74, Aegilops tauschii, 
LOC109752474, chalcone synthase 2-like, KO:K00660, EC:2.3.1.74, Aegilops tauschii, LOC109734579, bisdemethoxycurcumin synthase-like, 
KO:K00660, EC:2.3.1.74, Aegilops tauschii, LOC109764886, chalcone--flavonone isomerase, KO:K01859, EC:5.5.1.6, 
Aegilops tauschii, LOC109782217, probable chalcone--flavonone isomerase 3, KO:K01859, EC:5.5.1.6, Aegilops tauschii, LOC109770765, 
naringenin,2-oxoglutarate 3-dioxygenase, KO:K00475, EC:1.14.11.9, Aegilops tauschii, LOC109784747, flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, 
EC:1.14.20.6, Aegilops tauschii, LOC109764595, flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, EC:1.14.20.6, Aegilops tauschii, 
LOC109768154, flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, EC:1.14.20.6, Aegilops tauschii, LOC109771714, trans-cinnamate 4-monooxygenase, 
KO:K00487, EC:1.14.14.91, Aegilops tauschii, LOC109754216, cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, 
Aegilops tauschii, LOC109762639, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, Aegilops tauschii, LOC109770341, 
cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Aegilops tauschii, LOC109751434, trans-cinnamate 4-monooxygenase-like, KO:K00487, 
EC:1.14.14.91, Aegilops tauschii, LOC109777191, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, Aegilops tauschii, 
LOC109737789, flavonoid 3'-monooxygenase-like, KO:K05280, EC:1.14.14.82, Aegilops tauschii, LOC109767455, flavonoid 3'-monooxygenase-like, 
KO:K05280, EC:1.14.14.82, Aegilops tauschii, LOC109773560, flavonoid 3'-monooxygenase-like, KO:K05280, EC:1.14.14.82, 
Aegilops tauschii, LOC109757643, dihydroflavonol 4-reductase, KO:K13082, EC:1.1.1.219 1.1.1.234, Aegilops tauschii, LOC109733276, 
cytochrome P450 93A2-like, KO:K23180, EC:1.14.19.76, Aegilops tauschii, LOC109740351, flavonoid 3',5'-hydroxylase 1-like, KO:K13083, 
EC:1.14.14.81, Aegilops tauschii, LOC109774860, flavonoid 3',5'-hydroxylase 1-like, KO:K13083, EC:1.14.14.81, Aegilops tauschii, 
LOC109731523, flavonoid 3',5'-hydroxylase 2-like, KO:K13083, EC:1.14.14.81, Aegilops tauschii, LOC109782004, flavonoid 3',5'-hydroxylase 1-like, 
KO:K13083, EC:1.14.14.81, Aegilops tauschii, LOC109785547, flavonoid 3',5'-hydroxylase-like, KO:K13083, EC:1.14.14.81, 
Aegilops tauschii, LOC109756683, leucoanthocyanidin dioxygenase-like, KO:K05277, EC:1.14.20.4, Aegilops tauschii, LOC109738472, 
anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like, KO:K08695, EC:1.3.1.77, Aegilops tauschii, LOC109766837, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like, KO:K08695, 
EC:1.3.1.77, Aegilops tauschii, LOC109778519, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like, KO:K08695, EC:1.3.1.77, Aegilops tauschii, 
LOC109736125, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like, KO:K08695, EC:1.3.1.77, Aegilops tauschii, uncharacterized protein LOC109736130, KO:K08695, 
EC:1.3.1.77, Aegilops tauschii, LOC109750081, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1, KO:K08695, EC:1.3.1.77, Aegilops tauschii, 
LOC109733882, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like, KO:K08695, EC:1.3.1.77, Aegilops tauschii, uncharacterized protein LOC109736133, KO:K08695, 
EC:1.3.1.77, Aegilops tauschii, LOC109751108, leucoanthocyanidin reductase-like, KO:K13081, EC:1.17.1.3, Aegilops tauschii, 
LOC109776950, UDP-glycosyltransferase 88A1-like, KO:K22845, EC:2.4.1.357, Aegilops tauschii, LOC109756967, UDP-glycosyltransferase 88B1-like, 
KO:K22845, EC:2.4.1.357, Aegilops tauschii, LOC109766970, phloretin 2'-O-glucosyltransferase-like, KO:K22845, EC:2.4.1.357, 
Aegilops tauschii, LOC109767010, UDP-glycosyltransferase 88B1-like, KO:K22845, EC:2.4.1.357, Aegilops tauschii, LOC109743199, 
UDP-glycosyltransferase 88F5-like, KO:K22845, EC:2.4.1.357, Aegilops tauschii, LOC109743201, anthocyanidin 5,3-O-glucosyltransferase-like, KO:K22845, 
EC:2.4.1.357, Aegilops tauschii, LOC109772358, anthocyanidin 5,3-O-glucosyltransferase-like, KO:K22845, EC:2.4.1.357, Aegilops tauschii, 
LOC109772359, anthocyanidin 5,3-O-glucosyltransferase-like, KO:K22845, EC:2.4.1.357, Aegilops tauschii, LOC109772361, anthocyanidin 5,3-O-glucosyltransferase-like, 
KO:K22845, EC:2.4.1.357, Aegilops tauschii, LOC109772363, anthocyanidin 5,3-O-glucosyltransferase-like, KO:K22845, EC:2.4.1.357, 
Aegilops tauschii, LOC109764690, anthocyanidin 5,3-O-glucosyltransferase-like, KO:K22845, EC:2.4.1.357, Aegilops tauschii, LOC109758957, 
anthocyanidin 5,3-O-glucosyltransferase-like, KO:K22845, EC:2.4.1.357, Aegilops tauschii, LOC109732676, anthocyanidin 5,3-O-glucosyltransferase-like, KO:K22845, 
EC:2.4.1.357, Aegilops tauschii, LOC109732677, anthocyanidin 5,3-O-glucosyltransferase-like, KO:K22845, EC:2.4.1.357, Aegilops tauschii, 
LOC109733831, UDP-glycosyltransferase 88F5-like, KO:K22845, EC:2.4.1.357, Aegilops tauschii, LOC109780444, anthocyanidin 5,3-O-glucosyltransferase-like, 
KO:K22845, EC:2.4.1.357, Aegilops tauschii, LOC109777355, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, 
Aegilops tauschii, LOC109777634, hydroxycinnamoyltransferase 4-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109739393, 
hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109738327, tryptamine benzoyltransferase 1-like, KO:K13065, 
EC:2.3.1.133, Aegilops tauschii, LOC109762159, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, 
LOC109748755, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109744580, hydroxycinnamoyltransferase 1-like, 
KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109759511, tryptamine benzoyltransferase 1-like, KO:K13065, EC:2.3.1.133, 
Aegilops tauschii, LOC109768410, hydroxycinnamoyltransferase 4-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109746904, 
tryptamine benzoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109746960, tryptamine benzoyltransferase 1-like, KO:K13065, 
EC:2.3.1.133, Aegilops tauschii, LOC109769365, hydroxycinnamoyltransferase 4-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, 
LOC109771861, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109753347, hydroxycinnamoyltransferase 4-like, 
KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109753355, hydroxycinnamoyltransferase 4-like, KO:K13065, EC:2.3.1.133, 
Aegilops tauschii, LOC109753369, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109758637, 
putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109748320, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, 
EC:2.3.1.133, Aegilops tauschii, LOC109745166, agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, 
LOC109745173, tryptamine benzoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109753751, putrescine hydroxycinnamoyltransferase 1-like, 
KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109735971, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, 
Aegilops tauschii, LOC109737074, hydroxycinnamoyltransferase 4-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109736196, 
hydroxycinnamoyltransferase 2, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109735327, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, 
EC:2.3.1.133, Aegilops tauschii, LOC109735659, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, 
LOC109736509, hydroxycinnamoyltransferase 4-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109778521, hydroxycinnamoyltransferase 1, 
KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109785185, tryptamine benzoyltransferase 1-like, KO:K13065, EC:2.3.1.133, 
Aegilops tauschii, LOC109783087, putrescine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109786528, 
agmatine hydroxycinnamoyltransferase 1-like, KO:K13065, EC:2.3.1.133, Aegilops tauschii, LOC109752053, cytochrome P450 98A1, KO:K09754, 
EC:1.14.14.96, Aegilops tauschii, LOC109771148, cytochrome P450 98A1-like, KO:K09754, EC:1.14.14.96, Aegilops tauschii, 
LOC109771149, cytochrome P450 98A1-like, KO:K09754, EC:1.14.14.96, Aegilops tauschii, LOC109775586, cytochrome P450 98A1-like, 
KO:K09754, EC:1.14.14.96, Aegilops tauschii, LOC109757203, cytochrome P450 98A1-like, KO:K09754, EC:1.14.14.96, 
Aegilops tauschii, LOC109731922, cytochrome P450 98A1-like, KO:K09754, EC:1.14.14.96, Aegilops tauschii, LOC109746743, 
caffeoyl-CoA O-methyltransferase 1, KO:K00588, EC:2.1.1.104, Aegilops tauschii, LOC109744502, tricin synthase 1-like, KO:K00588, 
EC:2.1.1.104, Aegilops tauschii, LOC109771777, tricin synthase 1-like, KO:K00588, EC:2.1.1.104, Aegilops tauschii, 
LOC109737569, tricin synthase 1-like, KO:K00588, EC:2.1.1.104, Aegilops tauschii, LOC109786071, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1, 
KO:K00588, EC:2.1.1.104, 
