Oryza brachyantha, 102715460, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Oryza brachyantha, 102709455, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Oryza brachyantha, 102717957, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Oryza brachyantha, 102718239, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Oryza brachyantha, 102717680, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.25'], KO:K13064
Oryza brachyantha, 102707835, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Oryza brachyantha, 102720675, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Oryza brachyantha, 102720399, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Oryza brachyantha, 102710874, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Oryza brachyantha, 102709430, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Oryza brachyantha, 102721287, probable 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Oryza brachyantha, 102702350, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Oryza brachyantha, 102700731, probable 4-coumarate--CoA ligase 5  [EC], ['EC:6.2.1.12'], KO:K01904
Oryza brachyantha, 102704165, probable 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Oryza brachyantha, 102709878, 4-coumarate--CoA ligase-like 2  [EC], ['EC:6.2.1.12'], KO:K01904
Oryza brachyantha, 102712977, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Oryza brachyantha, 102713931, 4-coumarate--CoA ligase-like 3  [EC], ['EC:6.2.1.12'], KO:K01904
Oryza brachyantha, 102706994, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Oryza brachyantha, 102719484, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Oryza brachyantha, 102708856, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Oryza brachyantha, 102706819, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Oryza brachyantha, 102721456, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Oryza brachyantha, 102722024, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Oryza brachyantha, 102703982, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Oryza brachyantha, 102712257, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Oryza brachyantha, 102715174, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Oryza brachyantha, 102700621, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Oryza brachyantha, 102715639, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Oryza brachyantha, 102722148, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Oryza brachyantha, 102718404, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Oryza brachyantha, 102714018, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Oryza brachyantha, 102704446, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Oryza brachyantha, 102715891, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Oryza brachyantha, 102714531, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Oryza brachyantha, 102711504, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Oryza brachyantha, 102711778, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Oryza brachyantha, 102712056, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Oryza brachyantha, 102716196, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Oryza brachyantha, 102721008, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Oryza brachyantha, 102722421, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Oryza brachyantha, 102714947, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Oryza brachyantha, 102716621, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Oryza brachyantha, 102722059, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Oryza brachyantha, 102706856, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Oryza brachyantha, 102721779, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Oryza brachyantha, 102700372, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Oryza brachyantha, 102717362, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Oryza brachyantha, 102709401, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Oryza brachyantha, 102700209, cinnamyl alcohol dehydrogenase 2  [EC], ['EC:1.1.1.195'], KO:K00083
Oryza brachyantha, 102708609, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Oryza brachyantha, 102705369, putative cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Oryza brachyantha, 102705359, 1-Cys peroxiredoxin A  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Oryza brachyantha, 102705644, 1-Cys peroxiredoxin B  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Oryza brachyantha, 102707359, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102720289, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102702797, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Oryza brachyantha, 102714332, peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
