Chenopodium quinoa, 110692996, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Chenopodium quinoa, 110692997, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Chenopodium quinoa, 110693001, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Chenopodium quinoa, 110693002, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Chenopodium quinoa, 110713003, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Chenopodium quinoa, 110725973, anthocyanidin 3-O-glucosyltransferase 7-like  [EC], ['EC:2.4.1.115'], KO:K12930
Chenopodium quinoa, 110737715, UDP-glycosyltransferase 79B6-like  [EC], ['EC:2.4.2.51'], KO:K17193
Chenopodium quinoa, 110698085, anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase-like  [EC], ['EC:2.4.2.51'], KO:K17193
Chenopodium quinoa, 110698086, UDP-glycosyltransferase 79B2-like  [EC], ['EC:2.4.2.51'], KO:K17193
Chenopodium quinoa, 110713841, UDP-glycosyltransferase 79B6-like  [EC], ['EC:2.4.2.51'], KO:K17193
Chenopodium quinoa, 110713630, UDP-glycosyltransferase 79B3-like  [EC], ['EC:2.4.2.51'], KO:K17193
Chenopodium quinoa, 110686952, UDP-glycosyltransferase 79B6-like  [EC], ['EC:2.4.2.51'], KO:K17193
Chenopodium quinoa, 110713821, anthocyanidin 3-O-glucoside 2'''-O-xylosyltransferase-like  [EC], ['EC:2.4.2.51'], KO:K17193
