Gossypium raimondii, 105786418, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium raimondii, 105799777, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium raimondii, 105761806, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium raimondii, 105761807, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium raimondii, 105776733, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium raimondii, 105773643, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium raimondii, 105768043, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium raimondii, 105782529, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium raimondii, 105776145, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium raimondii, 105791879, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium raimondii, 105794492, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium raimondii, 105788981, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium raimondii, 105789399, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium raimondii, 105787925, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium raimondii, 105799750, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium raimondii, 105769383, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium raimondii, 105783644, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium raimondii, 105769702, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium raimondii, 105776276, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium raimondii, 105786416, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium raimondii, 105794551, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105794553, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105775998, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105766566, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105764313, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105779614, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105769350, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105769369, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105775325, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105775330, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105780019, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105773329, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105773331, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105773333, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105776825, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105778051, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105772997, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105767608, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105786247, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Gossypium raimondii, 105782306, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
