Vigna angularis, 108319876, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna angularis, 108330437, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna angularis, 108320820, chalcone synthase 17  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna angularis, 108320822, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna angularis, 108320823, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna angularis, 108336026, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna angularis, 108331740, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna angularis, 108322624, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna angularis, 108330729, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Vigna angularis, 108326022, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Vigna angularis, 108325855, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Vigna angularis, 108325856, chalcone--flavonone isomerase 1B-2-like  [EC], ['EC:5.5.1.6'], KO:K01859
Vigna angularis, 108323664, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Vigna angularis, 108337532, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Vigna angularis, 108345477, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Vigna angularis, 108338193, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna angularis, 108341749, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna angularis, 108325108, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna angularis, 108331456, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Vigna angularis, 108337946, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Vigna angularis, 108337389, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Vigna angularis, 108328202, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Vigna angularis, 108326549, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Vigna angularis, 108331455, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Vigna angularis, 108331454, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Vigna angularis, 108323455, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Vigna angularis, 108336235, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Vigna angularis, 108329986, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Vigna angularis, 108336367, dihydroflavonol-4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vigna angularis, 108324922, dihydroflavonol-4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vigna angularis, 108336257, dihydroflavonol-4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vigna angularis, 108324448, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vigna angularis, 108345990, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vigna angularis, 108342643, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vigna angularis, 108335234, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Vigna angularis, 108323842, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Vigna angularis, 108337959, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Vigna angularis, 108324973, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Vigna angularis, 108333069, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Vigna angularis, 108332538, UDP-glycosyltransferase 88F5-like  [EC], ['EC:2.4.1.357'], KO:K22845
Vigna angularis, 108345236, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108327506, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108346708, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108340936, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108320436, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108320670, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108327969, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108344777, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108328104, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108332986, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108341411, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108322157, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108345150, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108333279, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108342055, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Vigna angularis, 108346061, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Vigna angularis, 108335869, caffeoyl-CoA O-methyltransferase 1-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108343562, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108347170, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108344892, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108336243, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108340257, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108347202, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Vigna angularis, 108347316, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
