Pistacia vera, 116134326, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116139680, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116114587, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116132577, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116106555, polyketide synthase 5-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116108148, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116126333, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116113843, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116105700, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116105809, chalcone synthase 1 isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116105827, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116105858, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116106083, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116107510, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116107518, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116107528, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116121211, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Pistacia vera, 116142148, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Pistacia vera, 116107972, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Pistacia vera, 116107975, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Pistacia vera, 116129742, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Pistacia vera, 116129755, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Pistacia vera, 116139362, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Pistacia vera, 116133801, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Pistacia vera, 116145683, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Pistacia vera, 116110546, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Pistacia vera, 116110548, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Pistacia vera, 116110558, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Pistacia vera, 116118220, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Pistacia vera, 116126679, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Pistacia vera, 116118550, non-functional NADPH-dependent codeinone reductase 2-like , [], KO:K08243
Pistacia vera, 116105983, non-functional NADPH-dependent codeinone reductase 2-like , [], KO:K08243
Pistacia vera, 116107565, non-functional NADPH-dependent codeinone reductase 2-like , [], KO:K08243
Pistacia vera, 116145436, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
