Carica papaya, chalcone synthase 2, KO:K00660, EC:2.3.1.74, Carica papaya, chalcone synthase, KO:K00660, EC:2.3.1.74, 
Carica papaya, probable chalcone--flavonone isomerase 3 isoform X1, KO:K01859, EC:5.5.1.6, Carica papaya, chalcone--flavonone isomerase-like, KO:K01859, 
EC:5.5.1.6, Carica papaya, naringenin,2-oxoglutarate 3-dioxygenase, KO:K00475, EC:1.14.11.9, Carica papaya, flavonol synthase/flavanone 3-hydroxylase, 
KO:K05278, EC:1.14.20.6, Carica papaya, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Carica papaya, 
cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Carica papaya, flavonoid 3'-monooxygenase, KO:K05280, EC:1.14.14.82, 
Carica papaya, dihydroflavonol 4-reductase, KO:K13082, EC:1.1.1.219 1.1.1.234, Carica papaya, flavonoid 3',5'-hydroxylase 2-like, KO:K13083, 
EC:1.14.14.81, Carica papaya, leucoanthocyanidin dioxygenase, KO:K05277, EC:1.14.20.4, Carica papaya, anthocyanidin reductase ((2S)-flavan-3-ol-forming) isoform X1, 
KO:K08695, EC:1.3.1.77, Carica papaya, LOW QUALITY PROTEIN: leucoanthocyanidin reductase-like, KO:K13081, EC:1.17.1.3, Carica papaya, 
acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Carica papaya, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Carica papaya, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Carica papaya, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, 
EC:2.3.1.133, Carica papaya, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Carica papaya, spermidine hydroxycinnamoyl transferase, 
KO:K13065, EC:2.3.1.133, Carica papaya, LOW QUALITY PROTEIN: shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Carica papaya, 
cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Carica papaya, caffeoyl-CoA O-methyltransferase 2, KO:K00588, EC:2.1.1.104, 
Carica papaya, putative caffeoyl-CoA O-methyltransferase At1g67980, KO:K00588, EC:2.1.1.104, Carica papaya, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, 
EC:2.1.1.104, 
