Citrus sinensis, chalcone synthase 2, KO:K00660, EC:2.3.1.74, Citrus sinensis, chalcone synthase-like, KO:K00660, EC:2.3.1.74, 
Citrus sinensis, chalcone synthase-like, KO:K00660, EC:2.3.1.74, Citrus sinensis, chalcone synthase 2-like, KO:K00660, 
EC:2.3.1.74, Citrus sinensis, chalcone synthase 2-like, KO:K00660, EC:2.3.1.74, Citrus sinensis, chalcone synthase 2-like, 
KO:K00660, EC:2.3.1.74, Citrus sinensis, chalcone synthase-like, KO:K00660, EC:2.3.1.74, Citrus sinensis, 
chalcone synthase 2-like, KO:K00660, EC:2.3.1.74, Citrus sinensis, chalcone synthase 2-like, KO:K00660, EC:2.3.1.74, 
Citrus sinensis, chalcone synthase 1, KO:K00660, EC:2.3.1.74, Citrus sinensis, CHI, chalcone--flavonone isomerase, 
KO:K01859, EC:5.5.1.6, Citrus sinensis, probable chalcone--flavonone isomerase 3, KO:K01859, EC:5.5.1.6, Citrus sinensis, 
naringenin,2-oxoglutarate 3-dioxygenase-like, KO:K00475, EC:1.14.11.9, Citrus sinensis, flavonol synthase/flavanone 3-hydroxylase, KO:K05278, EC:1.14.20.6, 
Citrus sinensis, flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, EC:1.14.20.6, Citrus sinensis, flavonol synthase/flavanone 3-hydroxylase, KO:K05278, 
EC:1.14.20.6, Citrus sinensis, C4H2, cinnamate 4-hydroxylase CYP73, KO:K00487, EC:1.14.14.91, Citrus sinensis, 
C4H1, cinnamate 4-hydroxylase CYP73, KO:K00487, EC:1.14.14.91, Citrus sinensis, licodione synthase-like, KO:K23179, 
EC:1.14.19.76, Citrus sinensis, licodione synthase-like, KO:K23179, EC:1.14.19.76, Citrus sinensis, flavonoid 3'-monooxygenase, 
KO:K05280, EC:1.14.14.82, Citrus sinensis, dihydroflavonol-4-reductase, KO:K13082, EC:1.1.1.219 1.1.1.234, Citrus sinensis, 
