Nymphaea colorata, 116265581, chalcone synthase 6-4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nymphaea colorata, 116265582, chalcone synthase 6-4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nymphaea colorata, 116254980, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nymphaea colorata, 116266355, chalcone synthase 6-4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nymphaea colorata, 116266356, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Nymphaea colorata, 116266357, chalcone synthase 4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nymphaea colorata, 116246995, chalcone synthase 6-4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nymphaea colorata, 116262004, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Nymphaea colorata, 116256153, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Nymphaea colorata, 116256326, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Nymphaea colorata, 116263301, flavanone 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Nymphaea colorata, 116253956, flavanone 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Nymphaea colorata, 116245897, flavanone 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Nymphaea colorata, 116246718, flavanone 3-dioxygenase F3H1  [EC], ['EC:1.14.11.9'], KO:K00475
Nymphaea colorata, 116247898, flavanone 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Nymphaea colorata, 116261229, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Nymphaea colorata, 116259344, flavonol synthase 1-like  [EC], ['EC:1.14.20.6'], KO:K05278
Nymphaea colorata, 116262247, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Nymphaea colorata, 116254902, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nymphaea colorata, 116267900, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nymphaea colorata, 116256966, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Nymphaea colorata, 116257503, flavonoid 3'-monooxygenase CYP75B137-like  [EC], ['EC:1.14.14.82'], KO:K05280
Nymphaea colorata, 116257504, flavonoid 3'-monooxygenase CYP75B137-like  [EC], ['EC:1.14.14.82'], KO:K05280
Nymphaea colorata, 116257698, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Nymphaea colorata, 116257842, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Nymphaea colorata, 116268364, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Nymphaea colorata, 116247360, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Nymphaea colorata, 116260989, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Nymphaea colorata, 116264364, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Nymphaea colorata, 116264369, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Nymphaea colorata, 116260841, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Nymphaea colorata, 116249327, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Nymphaea colorata, 116263884, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Nymphaea colorata, 116262645, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Nymphaea colorata, 116262876, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Nymphaea colorata, 116262877, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Nymphaea colorata, 116262878, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Nymphaea colorata, 116259067, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Nymphaea colorata, 116249873, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116249952, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116250011, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116250605, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116250606, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116250607, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116250608, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116251074, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116251083, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116252232, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116252816, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116263484, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116263811, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116263841, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116264690, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116265073, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116265663, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116266444, agmatine coumaroyltransferase-1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116267058, putrescine hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116245808, LOW QUALITY PROTEIN: tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116245866, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116246130, putrescine hydroxycinnamoyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116246131, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nymphaea colorata, 116246142, tryptamine hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
