Sesamum indicum, 105157017, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Sesamum indicum, 105171852, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Sesamum indicum, 105171854, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Sesamum indicum, 105171853, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Sesamum indicum, 105163171, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Sesamum indicum, 105166981, probable chalcone--flavonone isomerase 3 isoform X2  [EC], ['EC:5.5.1.6'], KO:K01859
Sesamum indicum, 105166979, probable chalcone--flavonone isomerase 3 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Sesamum indicum, 105166042, flavanone 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Sesamum indicum, 105155397, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Sesamum indicum, 105176681, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Sesamum indicum, 105163854, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 105170464, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 105170468, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 105170466, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 105170465, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 105170463, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 110011256, LOW QUALITY PROTEIN: cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 105170377, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Sesamum indicum, 105157984, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
