Quercus lobata, 115994703, uncharacterized protein LOC115994703  [EC], ['EC:4.2.1.105'], KO:K13258
Quercus lobata, 115951222, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115951651, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115951655, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115951658, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115952256, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115952331, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115952376, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115983756, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115985242, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115952826, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115952851, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115952852, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115953179, cytochrome P450 81Q32-like isoform X1  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115953180, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115986324, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115953582, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115953902, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Quercus lobata, 115954075, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
