Physcomitrium patens, 112272830, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112272842, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112272843, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112272845, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112273835, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112273837, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112274269, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112276778, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112276782, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112276927, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112276928, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112276938, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112276939, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112279075, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112279843, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112278882, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112278883, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112278884, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112288360, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112294401, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112295755, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112296040, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112279776, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112291689, chalcone synthase 6-4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Physcomitrium patens, 112277939, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Physcomitrium patens, 112281648, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Physcomitrium patens, 112277388, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Physcomitrium patens, 112281483, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Physcomitrium patens, 112279424, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Physcomitrium patens, 112290352, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Physcomitrium patens, 112274047, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112275159, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112275054, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112275357, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112278540, hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112278247, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112280237, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112282400, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112284629, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112293457, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Physcomitrium patens, 112275074, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Physcomitrium patens, 112276043, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
