Panicum hallii, 112881643, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum hallii, 112881654, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum hallii, 112881665, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum hallii, 112873613, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum hallii, 112899882, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum hallii, 112890395, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Panicum hallii, 112882472, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.25'], KO:K13064
Panicum hallii, 112894071, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum hallii, 112895823, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum hallii, 112885850, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Panicum hallii, 112896929, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112885055, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112897964, probable 4-coumarate--CoA ligase 5  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112872651, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112873340, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112873868, 4-coumarate--CoA ligase-like 1 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112901377, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112875974, 4-coumarate--CoA ligase-like 1 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112888989, probable 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112876551, 4-coumarate--CoA ligase-like 3  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112876699, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112876706, 4-coumarate--CoA ligase-like 1 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112876886, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112877270, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Panicum hallii, 112882508, hydroxycinnamoyltransferase 4-like  [EC], ['EC:2.3.1.133'], KO:K13065
Panicum hallii, 112896968, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
