Phaseolus vulgaris, PHAVU_003G051700g, hypothetical protein  [EC], ['EC:1.14.14.87'], KO:K13257
Phaseolus vulgaris, PHAVU_003G074000g, hypothetical protein  [EC], ['EC:1.14.14.87'], KO:K13257
Phaseolus vulgaris, PHAVU_003G0518001, hypothetical protein  [EC], ['EC:1.14.14.87'], KO:K13257
Phaseolus vulgaris, PHAVU_002G047500g, hypothetical protein  [EC], ['EC:4.2.1.105'], KO:K13258
Phaseolus vulgaris, PHAVU_003G051600g, hypothetical protein  [EC], ['EC:2.1.1.212', 'EC:2.1.1.46'], KO:K13259
Phaseolus vulgaris, PHAVU_002G187800g, hypothetical protein  [EC], ['EC:1.14.14.88'], KO:K22932
Phaseolus vulgaris, PHAVU_002G187700g, hypothetical protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Phaseolus vulgaris, PHAVU_004G068400g, hypothetical protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Phaseolus vulgaris, PHAVU_002G014700g, hypothetical protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Phaseolus vulgaris, PHAVU_009G244200g, hypothetical protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Phaseolus vulgaris, PHAVU_009G244000g, hypothetical protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Phaseolus vulgaris, PHAVU_009G244100g, hypothetical protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Phaseolus vulgaris, PHAVU_010G012900g, hypothetical protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Phaseolus vulgaris, PHAVU_010G013000g, hypothetical protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Phaseolus vulgaris, PHAVU_010G013100g, hypothetical protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Phaseolus vulgaris, PHAVU_002G014800g, hypothetical protein  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Phaseolus vulgaris, PHAVU_008G032700g, hypothetical protein  [EC], ['EC:2.1.1.150'], KO:K13262
Phaseolus vulgaris, PHAVU_007G114000g, hypothetical protein  [EC], ['EC:2.1.1.150'], KO:K13262
Phaseolus vulgaris, PHAVU_008G032600g, hypothetical protein  [EC], ['EC:2.1.1.150'], KO:K13262
Phaseolus vulgaris, PHAVU_004G104200g, hypothetical protein  [EC], ['EC:2.4.1.170'], KO:K13263
Phaseolus vulgaris, PHAVU_008G076600g, hypothetical protein  [EC], ['EC:1.1.1.348'], KO:K13265
Phaseolus vulgaris, PHAVU_008G076700g, hypothetical protein  [EC], ['EC:1.1.1.348'], KO:K13265
Phaseolus vulgaris, PHAVU_011G044700g, hypothetical protein  [EC], ['EC:1.23.1.-'], KO:K13266
Phaseolus vulgaris, PHAVU_011G044500g, hypothetical protein  [EC], ['EC:1.23.1.-'], KO:K13266
Phaseolus vulgaris, PHAVU_006G054200g, hypothetical protein  [EC], ['EC:1.14.13.-'], KO:K13267
Phaseolus vulgaris, PHAVU_011G068100g, hypothetical protein  [EC], ['EC:1.14.19.76'], KO:K23179
