Glycine max, 100127426, IF7MaT; malonyl-CoA:isoflavone 7-O-glucoside-6''-O-malonyltransferase  [EC], ['EC:2.3.1.115'], KO:K13264
Glycine max, 100127365, AT133; malonyl-CoA:isoflavone 7-O-glucoside-6''-O-malonyltransferase  [EC], ['EC:2.3.1.115'], KO:K13264
Glycine max, 547705, W1; flavonoid 3', 5'-hydroxylase  [EC], ['EC:1.14.14.81'], KO:K13083
Glycine max, 547475, SF3'H1; flavonoid 3'-hydroxylase  [EC], ['EC:1.14.14.82'], KO:K05280
Glycine max, 100777999, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Glycine max, 100778531, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Glycine max, 100779588, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Glycine max, 100807293, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
<<<<<<< Updated upstream
Glycine max, 100791363, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Glycine max, 100808439, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Glycine max, 100820538, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Glycine max, 100807403, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Glycine max, 100807938, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
=======
Glycine max, 100791363, cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Glycine max, 100808439, cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Glycine max, 100820538, cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Glycine max, 100807403, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Glycine max, 100807938, cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
>>>>>>> Stashed changes
Glycine max, 100813643, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Glycine max, 100787444, FG3; UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Glycine max, 100780270, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Glycine max, 100818062, FG1; flavonol-3-O-glucoside/galactoside (1->6) glucosyltransferase  [EC], ['EC:2.4.1.159'], KO:K22772
Glycine max, 100819964, UGT79A6; UDP-glycosyltransferase 79A6  [EC], ['EC:2.4.1.159'], KO:K22772
