Citrus sinensis, 102620464, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Citrus sinensis, 102607860, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Citrus sinensis, 102619342, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Citrus sinensis, 102620173, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Citrus sinensis, 102578013, C4H2; cinnamate 4-hydroxylase CYP73  [EC], ['EC:1.14.14.91'], KO:K00487
Citrus sinensis, 102577934, C4H1; cinnamate 4-hydroxylase CYP73  [EC], ['EC:1.14.14.91'], KO:K00487
Citrus sinensis, 102610430, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Citrus sinensis, 102623419, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Citrus sinensis, 102629456, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Citrus sinensis, 102611686, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Citrus sinensis, 102624997, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Citrus sinensis, 102609336, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Citrus sinensis, 102609606, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Citrus sinensis, 102613925, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Citrus sinensis, 112499363, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Citrus sinensis, 102626986, 4-coumarate--CoA ligase-like 9 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Citrus sinensis, 102627453, 4-coumarate--CoA ligase-like 9 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Citrus sinensis, 102617597, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102618272, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102624810, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102623263, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102606780, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102626487, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102616683, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102616979, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102621641, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102621938, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102613844, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102614148, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102619195, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102628417, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102625849, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102618363, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102624577, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102628607, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 107175441, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 107175400, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102628720, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102609895, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102611960, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 112498336, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 107178428, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102623563, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 107177502, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102630515, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102611596, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102617991, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 107177532, BAHD acyltransferase BIA1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Citrus sinensis, 102624231, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Citrus sinensis, 102622303, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Citrus sinensis, 102630451, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Citrus sinensis, 102618728, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Citrus sinensis, 102620320, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Citrus sinensis, 102612381, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Citrus sinensis, 102622674, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus sinensis, 102619432, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus sinensis, 102616576, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus sinensis, 102617076, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus sinensis, 102617232, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus sinensis, 102627979, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Citrus sinensis, 102615114, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Citrus sinensis, 102615391, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Citrus sinensis, 102617281, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Citrus sinensis, 102616973, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Citrus sinensis, 102629212, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Citrus sinensis, 102629219, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Citrus sinensis, 102629858, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102619425, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102611981, anthranilate N-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102612475, anthranilate N-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Citrus sinensis, 102612776, caffeic acid 3-O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
