Eucalyptus grandis, 104414362, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Eucalyptus grandis, 104441585, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Eucalyptus grandis, 104441583, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Eucalyptus grandis, 104415137, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Eucalyptus grandis, 104419089, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Eucalyptus grandis, 104427578, chalcone synthase 6-4  [EC], ['EC:2.3.1.74'], KO:K00660
Eucalyptus grandis, 104430945, chalcone synthase 6-4-like  [EC], ['EC:2.3.1.74'], KO:K00660
Eucalyptus grandis, 104423564, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Eucalyptus grandis, 104423565, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Eucalyptus grandis, 104421835, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Eucalyptus grandis, 104450528, chalcone--flavonone isomerase isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Eucalyptus grandis, 104454463, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Eucalyptus grandis, 104422756, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Eucalyptus grandis, 104450481, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Eucalyptus grandis, 104450482, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Eucalyptus grandis, 104444489, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Eucalyptus grandis, 104428803, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Eucalyptus grandis, 104422338, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Eucalyptus grandis, 104435887, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Eucalyptus grandis, 104432776, licodione synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Eucalyptus grandis, 104432774, licodione synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Eucalyptus grandis, 104420423, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Eucalyptus grandis, 104420432, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Eucalyptus grandis, 104420450, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Eucalyptus grandis, 104448776, dihydroflavonol-4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Eucalyptus grandis, 104421458, flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
Eucalyptus grandis, 104433881, flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
Eucalyptus grandis, 104433882, flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
Eucalyptus grandis, 104433887, flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
Eucalyptus grandis, 104441822, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Eucalyptus grandis, 104441057, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Eucalyptus grandis, 104441153, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Eucalyptus grandis, 104433307, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Eucalyptus grandis, 104426103, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
