Glycine max, 100787902, GMPAL1.3; phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine max, 100803857, GMPAL2.3; phenylalanine ammonia-lyase class 2  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine max, 100811101, GMPAL1.1; phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine max, 100818777, GMPAL2.2; phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine max, 100302735, GMPAL2.1; phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine max, 100787872, GMPAL3.1; phenylalanine ammonia-lyase class 3 isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine max, 100788438, GMPAL1.2; phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine max, 100801470, GMPAL2.4; phenylalanine ammonia-lyase 2 isoform X2  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine max, 100499623, C4H; trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Glycine max, 100818985, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Glycine max, 100812188, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Glycine max, 100811418, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 100797843, 4CL; 4-coumarate--CoA ligase-like 7-like  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 547944, 4CL2; 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 100814237, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 100779668, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 100808944, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 547492, 4CL13; 4-coumarate:CoA ligase isoenzyme 3  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 100780741, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 548034, 4CL1; 4-coumarate:coenzyme A ligase  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 100790396, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 547930, 4CL4; 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 100819192, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 100810418, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 100804808, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 100804044, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine max, 100806561, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100820075, shikimate O-hydroxycinnamoyltransferase isoform X3  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100499712, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100777157, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100777680, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100779280, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100779814, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100792323, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100814459, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100804886, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100805962, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100801695, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100801923, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100787038, spermidine hydroxycinnamoyl transferase isoform X2  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100802888, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100803418, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100778626, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100780971, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100819383, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100775549, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100805510, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100777007, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100777532, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100779652, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100305576, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100788434, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100789491, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 102668997, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100802808, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100778266, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 102663900, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 102670206, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine max, 100811080, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Glycine max, 606506, CYP98A2; cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Glycine max, 100785661, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine max, 100815392, caffeoylshikimate esterase isoform X2  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine max, 100800623, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine max, 100805545, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine max, 100776335, caffeoylshikimate esterase isoform X3  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine max, 100783471, caffeoylshikimate esterase isoform X2  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine max, 100782441, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine max, 100819669, uncharacterized protein LOC100819669  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine max, 100500657, putative caffeoyl-CoA 3-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100779260, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100811247, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100780516, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100792717, OMT5; anthocyanin 3'-O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100800911, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100795229, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100813350, flavonoid 3',5'-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100305498, SOMT-9; O-methyltransferase SOMT-9 isoform 1  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100799303, S-adenosyl-L-methionine-dependent methyltransferases superfamily protein  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100795858, caffeoyl-CoA O-methyltransferase 5 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine max, 100811528, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Glycine max, 100796771, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Glycine max, 100789070, uncharacterized protein LOC100789070  [EC], ['EC:1.2.1.44'], KO:K09753
Glycine max, 100799994, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Glycine max, 100527654, aldehyde dehydrogenase superfamily protein  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine max, 100779993, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine max, 100784449, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine max, 100791396, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine max, 100791918, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine max, 100792798, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine max, 100817721, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine max, 100811540, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine max, 100783920, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine max, 100793538, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Glycine max, 100783430, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Glycine max, 100807448, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Glycine max, 100780100, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Glycine max, 100777636, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Glycine max, 100788873, uncharacterized protein LOC100788873  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Glycine max, 100806525, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Glycine max, 100805999, GMIMT1; myo-inositol-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Glycine max, 100803633, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Glycine max, 100806165, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Glycine max, 100777558, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Glycine max, 100804892, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Glycine max, 100820588, uncharacterized protein LOC100820588  [EC], ['EC:1.1.1.195'], KO:K00083
Glycine max, 100807617, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Glycine max, 100799990, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
