Hevea brasiliensis, 110655301, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Hevea brasiliensis, 110668141, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Hevea brasiliensis, 110650000, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Hevea brasiliensis, 110659945, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Hevea brasiliensis, 110653783, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Hevea brasiliensis, 110667843, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Hevea brasiliensis, 110642341, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Hevea brasiliensis, 110653493, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Hevea brasiliensis, 110665143, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Hevea brasiliensis, 110637148, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Hevea brasiliensis, 110646284, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Hevea brasiliensis, 110651859, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Hevea brasiliensis, 110644714, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Hevea brasiliensis, 110658711, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Hevea brasiliensis, 110648244, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Hevea brasiliensis, 110666248, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Hevea brasiliensis, 110641120, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Hevea brasiliensis, 110641433, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Hevea brasiliensis, 110636810, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Hevea brasiliensis, 110667560, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Hevea brasiliensis, 110634007, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Hevea brasiliensis, 110665304, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Hevea brasiliensis, 110636943, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110639542, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110639547, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110640502, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110667245, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110667246, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110667252, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110673296, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110651820, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110668544, LOW QUALITY PROTEIN: spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110672657, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110650078, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110654380, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110655483, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110665296, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110660132, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110666591, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110666593, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110632801, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110634043, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110642610, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110642702, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Hevea brasiliensis, 110668477, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Hevea brasiliensis, 110636368, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
