Nicotiana tabacum, 107801774, chalcone synthase 1B-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana tabacum, 107813613, chalcone synthase A  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana tabacum, 107801263, chalcone synthase G-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana tabacum, 107809744, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana tabacum, 107832236, chalcone synthase G-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana tabacum, 107813425, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana tabacum, 107826422, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Nicotiana tabacum, 107770091, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Nicotiana tabacum, 107810515, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Nicotiana tabacum, 107779699, CHI; chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Nicotiana tabacum, 107825576, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Nicotiana tabacum, 107806462, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Nicotiana tabacum, 107770893, NtF3H; naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Nicotiana tabacum, 107794305, FLS1; flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Nicotiana tabacum, 107814657, NtFLS; flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Nicotiana tabacum, 107823514, C4H; trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana tabacum, 107781854, CYP73A27; cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana tabacum, 107791262, CYP73A47v3; trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana tabacum, 107820794, CYP73A28; cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana tabacum, 107826530, CYP73A47v1; trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana tabacum, 107812882, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana tabacum, 107795677, F3'H1; flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Nicotiana tabacum, 107773493, NtF3'H; flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Nicotiana tabacum, 107797232, Dfr2; dihydroflavonol-4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Nicotiana tabacum, 107803097, Dfr1; dihydroflavonol-4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Nicotiana tabacum, 107777127, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Nicotiana tabacum, 107778118, ANS2; leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Nicotiana tabacum, 107819370, ANS1; leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Nicotiana tabacum, 107770662, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Nicotiana tabacum, 107829462, anthocyanidin reductase-like  [EC], ['EC:1.3.1.77'], KO:K08695
Nicotiana tabacum, 107793724, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Nicotiana tabacum, 107815501, leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Nicotiana tabacum, 107796658, HST; shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107768362, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107791446, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107777516, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107789426, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107801372, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107783442, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107779050, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107788550, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107794911, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107772339, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107785028, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107798845, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107791075, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107786022, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107800192, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107803726, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107825023, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107813494, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107759773, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tabacum, 107804864, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
