Salvia splendens, 121799715, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Salvia splendens, 121808330, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Salvia splendens, 121796009, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Salvia splendens, 121796010, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Salvia splendens, 121808642, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Salvia splendens, 121792913, chalcone--flavanone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Salvia splendens, 121781213, chalcone--flavanone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Salvia splendens, 121743041, chalcone isomerase-like protein 2  [EC], ['EC:5.5.1.6'], KO:K01859
Salvia splendens, 121759171, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Salvia splendens, 121773225, LOW QUALITY PROTEIN: naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Salvia splendens, 121795166, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Salvia splendens, 121746400, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Salvia splendens, 121746402, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Salvia splendens, 121787542, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Salvia splendens, 121787848, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Salvia splendens, 121762481, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Salvia splendens, 121765928, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Salvia splendens, 121743927, cytochrome P450 93B2-like  [EC], ['EC:1.14.19.76'], KO:K23179
Salvia splendens, 121740953, cytochrome P450 93B16-like  [EC], ['EC:1.14.19.76'], KO:K23179
Salvia splendens, 121762367, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Salvia splendens, 121768372, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Salvia splendens, 121769161, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Salvia splendens, 121772475, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Salvia splendens, 121771996, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Salvia splendens, 121788881, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Salvia splendens, 121767670, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Salvia splendens, 121743899, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121769978, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121770621, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121784223, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121798407, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121798505, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121811259, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121745805, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121758194, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121758263, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121801075, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121747038, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121747157, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121773830, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121773884, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121747587, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121760958, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121774790, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121802346, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121802957, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121803020, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121749055, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Salvia splendens, 121749158, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
