Vigna unguiculata, 114195889, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114190241, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114173395, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114173396, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114173397, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114173398, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114173399, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114173400, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114187259, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114170449, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114187056, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114169233, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114175142, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114164804, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114168795, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114168796, chalcone synthase 17-like  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114173536, chalcone synthase 17  [EC], ['EC:2.3.1.74'], KO:K00660
Vigna unguiculata, 114192130, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Vigna unguiculata, 114189846, chalcone--flavonone isomerase 1B-2-like  [EC], ['EC:5.5.1.6'], KO:K01859
Vigna unguiculata, 114190515, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Vigna unguiculata, 114162209, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Vigna unguiculata, 114179503, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Vigna unguiculata, 114193841, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Vigna unguiculata, 114180972, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Vigna unguiculata, 114193905, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna unguiculata, 114187493, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna unguiculata, 114189889, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Vigna unguiculata, 114193329, NAD(P)H-dependent 6'-deoxychalcone synthase-like , [], KO:K08243
Vigna unguiculata, 114193203, NAD(P)H-dependent 6'-deoxychalcone synthase , [], KO:K08243
Vigna unguiculata, 114169631, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Vigna unguiculata, 114164840, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Vigna unguiculata, 114191920, dihydroflavonol 4-reductase-like isoform X1  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vigna unguiculata, 114193233, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vigna unguiculata, 114193234, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vigna unguiculata, 114193708, dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Vigna unguiculata, 114187675, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vigna unguiculata, 114186854, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vigna unguiculata, 114173327, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Vigna unguiculata, 114179528, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
Vigna unguiculata, 114176923, anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like  [EC], ['EC:1.3.1.77'], KO:K08695
