Gossypium raimondii, 105796566, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium raimondii, 105798009, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium raimondii, 105766053, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium raimondii, 105770782, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium raimondii, 105776651, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium raimondii, 105776697, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Gossypium raimondii, 105783554, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Gossypium raimondii, 105780309, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Gossypium raimondii, 105803713, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Gossypium raimondii, 105763220, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Gossypium raimondii, 105780413, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Gossypium raimondii, 105780414, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Gossypium raimondii, 105770783, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Gossypium raimondii, 105782529, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium raimondii, 105776145, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium raimondii, 105779844, non-functional NADPH-dependent codeinone reductase 2-like , [], KO:K08243
Gossypium raimondii, 105781200, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Gossypium raimondii, 105764705, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Gossypium raimondii, 105772697, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Gossypium raimondii, 105769058, dihydroflavonol-4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Gossypium raimondii, 105793944, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Gossypium raimondii, 105792153, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Gossypium raimondii, 105768219, anthocyanidin reductase  [EC], ['EC:1.3.1.77'], KO:K08695
Gossypium raimondii, 105765625, lar2; leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Gossypium raimondii, 105764571, lar1; leucoanthocyanidin reductase-like  [EC], ['EC:1.17.1.3'], KO:K13081
Gossypium raimondii, 105768679, anthocyanidin 5,3-O-glucosyltransferase-like  [EC], ['EC:2.4.1.357'], KO:K22845
Gossypium raimondii, 105768674, anthocyanidin 5,3-O-glucosyltransferase-like  [EC], ['EC:2.4.1.357'], KO:K22845
Gossypium raimondii, 105761417, UDP-glycosyltransferase 88A1-like  [EC], ['EC:2.4.1.357'], KO:K22845
Gossypium raimondii, 105794551, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105794553, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105775998, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105766566, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105764313, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Gossypium raimondii, 105779614, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
