Populus alba, 118029929, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Populus alba, 118029939, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Populus alba, 118045734, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Populus alba, 118045736, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Populus alba, 118035408, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Populus alba, 118035422, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Populus alba, 118035432, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Populus alba, 118047804, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Populus alba, 118037227, cytochrome P450 81Q32-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Populus alba, 118061035, cytochrome P450 81E8-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Populus alba, 118053247, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
