Manihot esculenta, 110612862, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Manihot esculenta, 110625592, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Manihot esculenta, 110625602, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Manihot esculenta, 110625882, chalcone synthase 3-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Manihot esculenta, 110625883, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Manihot esculenta, 110626048, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Manihot esculenta, 110612286, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Manihot esculenta, 110619630, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Manihot esculenta, 110618709, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Manihot esculenta, 110609679, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Manihot esculenta, 110606120, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Manihot esculenta, 110607889, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Manihot esculenta, 110609989, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Manihot esculenta, 110606554, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Manihot esculenta, 110608744, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Manihot esculenta, 110613186, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Manihot esculenta, 110625897, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
Manihot esculenta, 110617654, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Manihot esculenta, 110615791, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Manihot esculenta, 110615792, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
