Phalaenopsis equestris, 110018892, bibenzyl synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phalaenopsis equestris, 110018893, bibenzyl synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Phalaenopsis equestris, 110018896, bibenzyl synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phalaenopsis equestris, 110018302, chalcone synthase 8  [EC], ['EC:2.3.1.74'], KO:K00660
Phalaenopsis equestris, 110032208, bibenzyl synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phalaenopsis equestris, 110026679, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Phalaenopsis equestris, 110027344, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Phalaenopsis equestris, 110032785, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Phalaenopsis equestris, 110037298, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Phalaenopsis equestris, 110019794, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Phalaenopsis equestris, 110019442, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phalaenopsis equestris, 110024427, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Phalaenopsis equestris, 110031953, LOW QUALITY PROTEIN: flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Phalaenopsis equestris, 110031993, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Phalaenopsis equestris, 110032025, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Phalaenopsis equestris, 110038151, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Phalaenopsis equestris, 110022396, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Phalaenopsis equestris, 110019582, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Phalaenopsis equestris, 110038738, LOW QUALITY PROTEIN: dihydroflavonol 4-reductase-like  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Phalaenopsis equestris, 110026775, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Phalaenopsis equestris, 110019740, leucoanthocyanidin dioxygenase-like  [EC], ['EC:1.14.20.4'], KO:K05277
Phalaenopsis equestris, 110032076, tryptamine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phalaenopsis equestris, 110022365, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Phalaenopsis equestris, 110030319, LOW QUALITY PROTEIN: hydroxycinnamoyltransferase 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phalaenopsis equestris, 110023591, LOW QUALITY PROTEIN: putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Phalaenopsis equestris, 110024997, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Phalaenopsis equestris, 110028638, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Phalaenopsis equestris, 110031934, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Phalaenopsis equestris, 110031935, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Phalaenopsis equestris, 110023518, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
