Cucurbita maxima, 111498981, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cucurbita maxima, 111481906, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Cucurbita maxima, 111481907, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Cucurbita maxima, 111489212, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Cucurbita maxima, 111489046, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Cucurbita maxima, 111498563, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Cucurbita maxima, 111465227, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Cucurbita maxima, 111486888, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Cucurbita maxima, 111489355, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Cucurbita maxima, 111484465, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita maxima, 111499735, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita maxima, 111492592, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita maxima, 111491732, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita maxima, 111499893, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Cucurbita maxima, 111498028, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111478230, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111488196, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111492737, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111466005, spermidine hydroxycinnamoyl transferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111472185, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111496400, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucurbita maxima, 111482281, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Cucurbita maxima, 111471046, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita maxima, 111466357, caffeoyl-CoA O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita maxima, 111466358, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita maxima, 111466359, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Cucurbita maxima, 111486125, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
