Glycine soja, 114371207, phenylalanine ammonia-lyase 2-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine soja, 114403853, phenylalanine ammonia-lyase class 3 isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine soja, 114399496, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine soja, 114402244, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine soja, 114407085, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine soja, 114407086, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine soja, 114371946, phenylalanine ammonia-lyase class 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine soja, 114382723, phenylalanine ammonia-lyase class 2  [EC], ['EC:4.3.1.24'], KO:K10775
Glycine soja, 114397278, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Glycine soja, 114385043, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Glycine soja, 114401755, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Glycine soja, 114407887, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114395826, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114424439, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114367122, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114376222, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114392488, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114376404, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114376474, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114388271, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114381477, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114375639, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114376804, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114393048, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114393123, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114416242, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Glycine soja, 114418036, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114402773, spermidine hydroxycinnamoyl transferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114419201, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114395489, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114395584, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114399545, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114405903, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114423373, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114423374, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114423379, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114423382, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114422510, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114386478, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114369859, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114383273, omega-hydroxypalmitate O-feruloyl transferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114395123, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114387639, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114375353, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114389049, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114369295, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114376619, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114389679, omega-hydroxypalmitate O-feruloyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114390233, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114390368, fatty alcohol:caffeoyl-CoA acyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114375578, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114375583, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114390980, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114369488, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114391921, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114393241, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114394635, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114394743, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114394917, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114395032, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Glycine soja, 114406591, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Glycine soja, 114399785, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Glycine soja, 114407378, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine soja, 114403383, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine soja, 114400656, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine soja, 114369828, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine soja, 114382343, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine soja, 114381703, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine soja, 114392309, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine soja, 114401166, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Glycine soja, 114421606, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114421811, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114413517, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114421125, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114411406, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114419712, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114412825, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114407365, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114423381, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114393116, caffeoyl-CoA O-methyltransferase 1-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114374935, caffeoyl-CoA O-methyltransferase 5-like  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114386181, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Glycine soja, 114418058, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Glycine soja, 114422490, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Glycine soja, 114386897, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Glycine soja, 114376899, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Glycine soja, 114425732, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine soja, 114413591, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine soja, 114413592, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine soja, 114422478, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine soja, 114418572, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine soja, 114418573, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine soja, 114422153, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine soja, 114368858, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine soja, 114368859, aldehyde dehydrogenase family 2 member C4-like isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Glycine soja, 114376916, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Glycine soja, 114390886, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Glycine soja, 114420102, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Glycine soja, 114415629, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Glycine soja, 114415631, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Glycine soja, 114415633, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Glycine soja, 114410222, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Glycine soja, 114418253, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Glycine soja, 114400750, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Glycine soja, 114373878, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Glycine soja, 114385105, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Glycine soja, 114371910, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Glycine soja, 114385673, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Glycine soja, 114403367, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Glycine soja, 114412631, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Glycine soja, 114412633, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Glycine soja, 114425780, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Glycine soja, 114422457, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Glycine soja, 114421449, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Glycine soja, 114421450, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Glycine soja, 114386352, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Glycine soja, 114424472, 1-Cys peroxiredoxin-like  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Glycine soja, 114411530, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Glycine soja, 114370402, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114400585, peroxidase 28-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114416751, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114410157, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114405729, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114405731, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114397058, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114397067, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114397077, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114397104, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114400735, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114416759, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114420279, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114412717, peroxidase 11-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114422194, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114424469, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114422382, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114400253, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114403001, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114395787, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114410216, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114403397, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114405988, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114405990, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114405991, peroxidase P7-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114405992, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114405996, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114405997, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114405998, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114405999, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114406004, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114402530, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114403659, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114419659, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114395649, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114402882, peroxidase 20-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114402884, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114406787, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114398296, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114420196, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114421487, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114415709, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114412466, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114417090, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114404080, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114399779, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114419527, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114420731, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114422980, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114417289, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114417290, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114423191, peroxidase 43-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114422307, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114424592, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114420167, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114395699, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114395710, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114399416, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114402979, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114367054, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114373592, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114373595, peroxidase 19  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114375864, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114393856, peroxidase 50-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114376500, peroxidase 3-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114376501, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114376511, peroxidase 25-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114381293, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114377022, probable peroxidase 61  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114384326, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114384539, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114388866, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114388883, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114389061, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114389202, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114366956, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114366958, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114385335, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114385336, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114374594, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114378087, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114387223, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114387388, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114387550, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114387718, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114387980, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114382792, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114392124, peroxidase 9-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114393128, peroxidase 46-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114393245, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114393365, peroxidase N-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114393366, peroxidase N-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114393486, peroxidase 40-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114379869, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114370621, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114369950, peroxidase 21-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114374915, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114392453, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114392495, peroxidase 42-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114377950, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114390554, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114367816, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114390970, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114391237, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114367169, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114370997, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114371811, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114378346, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114381926, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114367716, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114389482, peroxidase 55-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114389736, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114386546, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114372898, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114372910, peroxidase 51-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114380018, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114380019, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114382453, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114369617, peroxidase 65-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114369646, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114370860, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114370864, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114373488, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114387886, peroxidase E5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114388170, peroxidase 54-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114388190, peroxidase 11-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114382967, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114384233, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114393755, peroxidase 29-like  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114393932, peroxidase 45-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Glycine soja, 114367561, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
