Nicotiana Tomentosiformis (Yungas Valley Tobacco), phenylalanine ammonia-lyase G4-like, KO:K10775, EC:4.3.1.24, Nicotiana Tomentosiformis (Yungas Valley Tobacco), phenylalanine ammonia-lyase G4-like, KO:K10775, EC:4.3.1.24, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Nicotiana Tomentosiformis (Yungas Valley Tobacco), phenylalanine ammonia-lyase, KO:K10775, 
EC:4.3.1.24, Nicotiana Tomentosiformis (Yungas Valley Tobacco), trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, Nicotiana Tomentosiformis (Yungas Valley Tobacco), cytochrome P450 CYP73A100-like, 
KO:K00487, EC:1.14.14.91, Nicotiana Tomentosiformis (Yungas Valley Tobacco), trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
4-coumarate--CoA ligase 2-like, KO:K01904, EC:6.2.1.12, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), 4-coumarate--CoA ligase 2-like, KO:K01904, EC:6.2.1.12, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 4-coumarate--CoA ligase 1, KO:K01904, 
EC:6.2.1.12, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 4-coumarate--CoA ligase 2, KO:K01904, EC:6.2.1.12, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 4-coumarate--CoA ligase-like 6 isoform X1, 
KO:K01904, EC:6.2.1.12, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 4-coumarate--CoA ligase-like 1, KO:K01904, EC:6.2.1.12, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), shikimate O-hydroxycinnamoyltransferase, KO:K13065, 
EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
spermidine hydroxycinnamoyl transferase, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), shikimate O-hydroxycinnamoyltransferase-like isoform X1, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), acylsugar acyltransferase 3-like, KO:K13065, 
EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), 
acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), omega-hydroxypalmitate O-feruloyl transferase, KO:K13065, EC:2.3.1.133, 
Nicotiana Tomentosiformis (Yungas Valley Tobacco), acylsugar acyltransferase 3-like, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, 
EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), agmatine coumaroyltransferase-2-like, KO:K13065, EC:2.3.1.133, Nicotiana Tomentosiformis (Yungas Valley Tobacco), acylsugar acyltransferase 3-like, 
