Nicotiana attenuata, 109233353, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Nicotiana attenuata, 109231224, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Nicotiana attenuata, 109209019, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Nicotiana attenuata, 109212354, phenylalanine ammonia-lyase isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Nicotiana attenuata, 109229405, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana attenuata, 109225492, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana attenuata, 109215399, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana attenuata, 109212257, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana attenuata, 109235730, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana attenuata, 109223896, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana attenuata, 109227440, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana attenuata, 109224352, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana attenuata, 109242233, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana attenuata, 109217669, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana attenuata, 109218815, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana attenuata, 109242104, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana attenuata, 109236083, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109237576, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109205681, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109235639, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109237700, agmatine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109235919, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109241609, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109209235, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109234193, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109210489, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109212708, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109220540, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109226461, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109229836, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana attenuata, 109231066, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
