Camellia sinensis, 114308797, flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like  [EC], ['EC:2.4.1.236'], KO:K13080
Camellia sinensis, 114308798, LOW QUALITY PROTEIN: flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like  [EC], ['EC:2.4.1.236'], KO:K13080
Camellia sinensis, 114308813, flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like  [EC], ['EC:2.4.1.236'], KO:K13080
Camellia sinensis, 114309335, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Camellia sinensis, 114309343, LOW QUALITY PROTEIN: flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Camellia sinensis, 114261298, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Camellia sinensis, 114276755, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Camellia sinensis, 114310487, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Camellia sinensis, 114306934, UDP-glycosyltransferase 73C6-like  [EC], ['EC:2.4.1.-'], KO:K22771
Camellia sinensis, 114282855, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Camellia sinensis, 114306129, kaempferol 3-O-beta-D-galactosyltransferase-like isoform X1  [EC], ['EC:2.4.1.234'], KO:K13269
Camellia sinensis, 114285765, kaempferol 3-O-beta-D-galactosyltransferase-like  [EC], ['EC:2.4.1.234'], KO:K13269
Camellia sinensis, 114285775, anthocyanidin 3-O-glucosyltransferase 2-like  [EC], ['EC:2.4.1.234'], KO:K13269
Camellia sinensis, 114289234, kaempferol 3-O-beta-D-galactosyltransferase-like  [EC], ['EC:2.4.1.234'], KO:K13269
Camellia sinensis, 114312686, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.267'], KO:K13272
Camellia sinensis, 114317032, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.267'], KO:K13272
Camellia sinensis, 114305583, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.267'], KO:K13272
Camellia sinensis, 114293531, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.267'], KO:K13272
Camellia sinensis, 114275659, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.267'], KO:K13272
