Gossypium hirsutum, 107944640, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 107897711, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 107899351, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 107898808, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 107947805, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 107915817, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 107905303, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 107948312, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 107901087, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 107891138, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 107937172, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 121203612, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 121206206, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Gossypium hirsutum, 107896573, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium hirsutum, 107916264, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium hirsutum, 107913579, LOW QUALITY PROTEIN: cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium hirsutum, 107936045, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium hirsutum, 107957678, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Gossypium hirsutum, 107927147, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107927154, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107938562, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107888070, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Gossypium hirsutum, 107942427, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
