Benincasa hispida, 120092577, chalcone synthase J-like  [EC], ['EC:2.3.1.74'], KO:K00660
Benincasa hispida, 120081484, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Benincasa hispida, 120073252, chalcone synthase 2-like  [EC], ['EC:2.3.1.74'], KO:K00660
Benincasa hispida, 120080278, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Benincasa hispida, 120081242, probable chalcone--flavonone isomerase 3 isoform X1  [EC], ['EC:5.5.1.6'], KO:K01859
Benincasa hispida, 120068304, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Benincasa hispida, 120069023, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Benincasa hispida, 120075949, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Benincasa hispida, 120079060, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Benincasa hispida, 120079601, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Benincasa hispida, 120080215, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Benincasa hispida, 120083555, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Benincasa hispida, 120088389, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Benincasa hispida, 120070880, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Benincasa hispida, 120080196, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120082231, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120071003, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120083539, LOW QUALITY PROTEIN: stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120086649, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120076424, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120076478, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Benincasa hispida, 120091747, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Benincasa hispida, 120081254, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Benincasa hispida, 120081836, caffeoyl-CoA O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Benincasa hispida, 120077526, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
