Tripterygium wilfordii, 120001256, flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase-like  [EC], ['EC:2.4.1.236'], KO:K13080
Tripterygium wilfordii, 120002289, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Tripterygium wilfordii, 119990945, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Tripterygium wilfordii, 119991612, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Tripterygium wilfordii, 119992132, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Tripterygium wilfordii, 119987383, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Tripterygium wilfordii, 119981407, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Tripterygium wilfordii, 119981628, UDP-glycosyltransferase 73C4-like  [EC], ['EC:2.4.1.-'], KO:K22771
Tripterygium wilfordii, 119982880, UDP-glycosyltransferase 73C4-like  [EC], ['EC:2.4.1.-'], KO:K22771
Tripterygium wilfordii, 119983000, UDP-glycosyltransferase 73C4-like  [EC], ['EC:2.4.1.-'], KO:K22771
Tripterygium wilfordii, 119992988, flavonoid 3-O-glucosyltransferase-like  [EC], ['EC:2.4.1.91'], KO:K10757
Tripterygium wilfordii, 119988179, cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Tripterygium wilfordii, 119982358, cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Tripterygium wilfordii, 119983751, cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Tripterygium wilfordii, 120009114, cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Tripterygium wilfordii, 119999971, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Tripterygium wilfordii, 120000591, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
