Brassica rapa, 103829920, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica rapa, 103841251, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica rapa, 103865574, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica rapa, 103867229, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica rapa, 103870475, phenylalanine ammonia-lyase 4  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica rapa, 103864245, phenylalanine ammonia-lyase 3  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica rapa, 103863433, phenylalanine ammonia-lyase 2-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica rapa, 103867954, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica rapa, 103857322, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica rapa, 103857323, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica rapa, 103865042, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica rapa, 103865043, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica rapa, 103838045, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica rapa, 103839764, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica rapa, 103839765, 4-coumarate--CoA ligase-like 7 isoform X2  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica rapa, 103831048, 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica rapa, 103859897, 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica rapa, 103869195, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica rapa, 103869196, 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica rapa, 103869197, 4-coumarate--CoA ligase 4 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica rapa, 103868556, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica rapa, 103859898, 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica rapa, 103857048, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica rapa, 103855040, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica rapa, 103828167, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica rapa, 103837935, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica rapa, 103856729, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica rapa, 103856727, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica rapa, 103870149, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica rapa, 103874054, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica rapa, 103857960, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica rapa, 103866522, cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica rapa, 103865848, LOW QUALITY PROTEIN: cytochrome P450 98A3  [EC], ['EC:1.14.14.96'], KO:K09754
Brassica rapa, 103858251, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica rapa, 103871191, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica rapa, 103857865, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica rapa, 103862771, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica rapa, 103851027, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica rapa, 103842088, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica rapa, 103853072, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica rapa, 103841434, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Brassica rapa, 103829136, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica rapa, 103831219, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica rapa, 103862317, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica rapa, 103865968, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica rapa, 103852437, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica rapa, 103835436, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica rapa, 103833446, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica rapa, 103834443, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica rapa, 103852438, putative caffeoyl-CoA O-methyltransferase At1g67980 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Brassica rapa, 103853214, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica rapa, 103872395, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica rapa, 103832452, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica rapa, 103842872, cinnamoyl-CoA reductase 1 isoform X8  [EC], ['EC:1.2.1.44'], KO:K09753
Brassica rapa, 103860041, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Brassica rapa, 103828068, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica rapa, 103862460, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica rapa, 103869607, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Brassica rapa, 103857055, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica rapa, 103851985, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica rapa, 103844876, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica rapa, 103844878, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica rapa, 103868698, flavone 3'-O-methyltransferase 1 isoform X2  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica rapa, 103861716, flavone 3'-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Brassica rapa, 103831774, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica rapa, 103835065, cinnamyl alcohol dehydrogenase 7 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica rapa, 103835067, cinnamyl alcohol dehydrogenase 8  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica rapa, 103862330, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica rapa, 103842497, cinnamyl alcohol dehydrogenase 2  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica rapa, 103869453, cinnamyl alcohol dehydrogenase 4  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica rapa, 103828048, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica rapa, 103840386, cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica rapa, 103856448, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Brassica rapa, 103867418, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica rapa, 103840305, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica rapa, 103828799, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica rapa, 103865354, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Brassica rapa, 103868693, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Brassica rapa, 103868452, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Brassica rapa, 103249141, peroxidase 30  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103845714, peroxidase 58  [EC], ['EC:1.11.1.7'], KO:K00430
Brassica rapa, 103870957, peroxidase 27  [EC], ['EC:1.11.1.7'], KO:K00430
