Arachis ipaensis, 107631190, 2-hydroxyisoflavanone synthase  [EC], ['EC:1.14.14.87'], KO:K13257
Arachis ipaensis, 107617879, 2-hydroxyisoflavanone dehydratase  [EC], ['EC:4.2.1.105'], KO:K13258
Arachis ipaensis, 107631191, isoflavone 4'-O-methyltransferase  [EC], ['EC:2.1.1.212', 'EC:2.1.1.46'], KO:K13259
Arachis ipaensis, 107631471, isoflavone 3'-hydroxylase  [EC], ['EC:1.14.14.88'], KO:K22932
Arachis ipaensis, 107639094, isoflavone 3'-hydroxylase  [EC], ['EC:1.14.14.88'], KO:K22932
Arachis ipaensis, 107634717, isoflavone 3'-hydroxylase  [EC], ['EC:1.14.14.88'], KO:K22932
Arachis ipaensis, 107632124, isoflavone 2'-hydroxylase  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis ipaensis, 107642734, cytochrome P450 81E8  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis ipaensis, 107642737, cytochrome P450 81E8  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis ipaensis, 107639093, isoflavone 2'-hydroxylase  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis ipaensis, 107627314, cytochrome P450 81E8  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis ipaensis, 107642736, cytochrome P450 81E8  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis ipaensis, 107638257, isoflavone 2'-hydroxylase-like  [EC], ['EC:1.14.14.90', 'EC:1.14.14.89'], KO:K13260
Arachis ipaensis, 107638166, isoflavone-7-O-methyltransferase 6-like  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis ipaensis, 107635490, isoflavone-7-O-methyltransferase 9 isoform X1  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis ipaensis, 107638164, isoflavone-7-O-methyltransferase 9-like  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis ipaensis, 107635412, isoflavone 7-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis ipaensis, 107635414, isoflavone 7-O-methyltransferase isoform X1  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis ipaensis, 107635489, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis ipaensis, 107635608, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis ipaensis, 107635609, isoflavone 7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis ipaensis, 107612696, isoflavone 7-O-methyltransferase isoform X1  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis ipaensis, 107638167, isoflavone 7-O-methyltransferase-like  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis ipaensis, 107638188, isoflavone 7-O-methyltransferase  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis ipaensis, 107644738, isoflavone-7-O-methyltransferase 9  [EC], ['EC:2.1.1.150'], KO:K13262
Arachis ipaensis, 107642895, isoflavone reductase  [EC], ['EC:1.3.1.45'], KO:K05281
Arachis ipaensis, 107624299, vestitone reductase  [EC], ['EC:1.1.1.348'], KO:K13265
Arachis ipaensis, 107638006, vestitone reductase-like  [EC], ['EC:1.1.1.348'], KO:K13265
Arachis ipaensis, 107645384, dirigent protein 1  [EC], ['EC:4.2.1.139'], KO:K25075
Arachis ipaensis, 107618623, cytochrome P450 71D9  [EC], ['EC:1.14.13.-'], KO:K13267
Arachis ipaensis, 107634112, licodione synthase-like  [EC], ['EC:1.14.19.76'], KO:K23179
