Sesamum indicum, 105161317, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Sesamum indicum, 105161378, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Sesamum indicum, 105174307, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Sesamum indicum, 105163854, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 105170464, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 105170468, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 105170466, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 105170465, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 105170463, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 110011256, LOW QUALITY PROTEIN: cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Sesamum indicum, 105158263, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Sesamum indicum, 105155681, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Sesamum indicum, 105165431, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Sesamum indicum, 105172728, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Sesamum indicum, 105177316, 4-coumarate--CoA ligase-like 1 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Sesamum indicum, 105168716, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Sesamum indicum, 105168813, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Sesamum indicum, 105166823, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Sesamum indicum, 105170261, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Sesamum indicum, 105166964, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Sesamum indicum, 105166350, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105166275, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105156787, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105156011, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105155477, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105156673, vinorine synthase-like isoform X3  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105160994, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105161635, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105158300, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105165248, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Sesamum indicum, 105166835, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
