Beta vulgaris, 104898673, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Beta vulgaris, 104886776, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Beta vulgaris, 104900289, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Beta vulgaris, 104897553, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Beta vulgaris, 104888010, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Beta vulgaris, 104893057, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Beta vulgaris, 104902419, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Beta vulgaris, 104902885, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Beta vulgaris, 104893505, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Beta vulgaris, 104886619, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104884151, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104889752, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104889289, anthranilate N-benzoyltransferase protein 3  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104889291, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104889292, anthranilate N-benzoyltransferase protein 2  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104886661, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104883265, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104883267, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104889010, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104890181, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104897332, anthranilate N-benzoyltransferase protein 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Beta vulgaris, 104887604, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Beta vulgaris, 104889547, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Beta vulgaris, 104889649, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Beta vulgaris, 104889748, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Beta vulgaris, 104899091, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Beta vulgaris, 104906121, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Beta vulgaris, 104906001, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Beta vulgaris, 104896551, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Beta vulgaris, 104904122, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Beta vulgaris, 104883953, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
