Arachis hypogaea, 112728963, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis hypogaea, 112772494, phenylalanine ammonia-lyase class 1  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis hypogaea, 112712613, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis hypogaea, 112696529, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis hypogaea, 112779615, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis hypogaea, 112759199, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis hypogaea, 112760446, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis hypogaea, 112725678, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis hypogaea, 112706813, phenylalanine ammonia-lyase class 1  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis hypogaea, 112765227, phenylalanine ammonia-lyase class 3  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis hypogaea, 112765954, phenylalanine ammonia-lyase class 3  [EC], ['EC:4.3.1.24'], KO:K10775
Arachis hypogaea, 112712108, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis hypogaea, 112794230, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis hypogaea, 112719871, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis hypogaea, 112777310, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis hypogaea, 112764966, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Arachis hypogaea, 112785525, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112708172, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112747479, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112771440, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112749801, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Arachis hypogaea, 112771695, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
