Spinacia oleracea, 110796050, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Spinacia oleracea, 110797393, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Spinacia oleracea, 110783961, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Spinacia oleracea, 110785690, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Spinacia oleracea, 110792876, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Spinacia oleracea, 110786106, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Spinacia oleracea, 110789944, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Spinacia oleracea, 110791236, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Spinacia oleracea, 110805019, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Spinacia oleracea, 110780917, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110775950, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110786280, anthranilate N-benzoyltransferase protein 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110797736, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110803480, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110782847, anthranilate N-benzoyltransferase protein 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110787836, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110806241, anthranilate N-benzoyltransferase protein 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110801780, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110796014, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110794219, anthranilate N-benzoyltransferase protein 2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Spinacia oleracea, 110779503, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Spinacia oleracea, 110778982, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Spinacia oleracea, 110799229, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Spinacia oleracea, 110774716, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Spinacia oleracea, 110793624, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Spinacia oleracea, 110799003, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Spinacia oleracea, 110798588, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Spinacia oleracea, 110779299, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110782641, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110794362, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110800103, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110800104, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110802224, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110803457, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110803466, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Spinacia oleracea, 110805090, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Spinacia oleracea, 110777586, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Spinacia oleracea, 110778019, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Spinacia oleracea, 110804038, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Spinacia oleracea, 110789712, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Spinacia oleracea, 110804039, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Spinacia oleracea, 110784083, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Spinacia oleracea, 110785731, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Spinacia oleracea, 110784177, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Spinacia oleracea, 110784196, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Spinacia oleracea, 110797628, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Spinacia oleracea, 110785749, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Spinacia oleracea, 110801392, caffeic acid 3-O-methyltransferase 1-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Spinacia oleracea, 110778083, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Spinacia oleracea, 110797580, caffeic acid 3-O-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Spinacia oleracea, 110797596, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Spinacia oleracea, 110780238, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Spinacia oleracea, 110792128, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Spinacia oleracea, 110782766, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Spinacia oleracea, 110776457, probable cinnamyl alcohol dehydrogenase 6 isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Spinacia oleracea, 110799309, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Spinacia oleracea, 110801321, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Spinacia oleracea, 110786519, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Spinacia oleracea, 110779424, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Spinacia oleracea, 110777722, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110792441, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110798478, peroxidase 31-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110785280, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110785281, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110785287, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110788762, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110793341, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110793343, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110793344, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110793347, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110793348, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110800239, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110804146, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110787344, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110801469, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110791958, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110793126, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110796664, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110797276, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110797277, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110797653, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110797658, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110797665, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110797675, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110783749, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110783750, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110783752, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110783753, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110782445, peroxidase 66-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110785575, peroxidase 60-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110800240, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110800241, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110800242, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110802627, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110793449, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110803591, peroxidase 64-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110790901, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110790916, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110790939, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110797962, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110798333, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110798898, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110791652, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110795129, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110796672, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110797364, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110797383, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110797385, cationic peroxidase 2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110792657, peroxidase 57-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110805571, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110805574, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110805575, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110805576, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Spinacia oleracea, 110805577, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
