Capsicum annuum, 107854291, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Capsicum annuum, 107863937, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Capsicum annuum, 107871487, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Capsicum annuum, 107843098, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Capsicum annuum, 107843099, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Capsicum annuum, 107843092, PAL1; phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Capsicum annuum, 107875407, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Capsicum annuum, 107875406, C4H; trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Capsicum annuum, 107862076, 4CL; 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Capsicum annuum, 107847568, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Capsicum annuum, 107845437, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Capsicum annuum, 107860466, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Capsicum annuum, 107862932, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Capsicum annuum, 107877487, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Capsicum annuum, 107869755, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Capsicum annuum, 107875995, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Capsicum annuum, 107862691, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Capsicum annuum, 107851983, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107853210, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107861362, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107871738, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107877086, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107877492, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107872217, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107865823, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107873863, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Capsicum annuum, 107875625, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
