Populus trichocarpa, 7460519, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Populus trichocarpa, 7493197, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Populus trichocarpa, 7493198, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Populus trichocarpa, 7493199, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Populus trichocarpa, 7460520, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Populus trichocarpa, 18099506, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Populus trichocarpa, 18103955, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Populus trichocarpa, 7466313, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Populus trichocarpa, 7486993, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Populus trichocarpa, 7458617, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Populus trichocarpa, 7459237, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Populus trichocarpa, 18099191, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Populus trichocarpa, 18099194, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Populus trichocarpa, 18097775, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Populus trichocarpa, 18097776, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Populus trichocarpa, 18109811, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Populus trichocarpa, 7495105, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Populus trichocarpa, 7458869, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Populus trichocarpa, 7464737, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Populus trichocarpa, 7498118, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Populus trichocarpa, 112325022, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Populus trichocarpa, 18098816, licodione synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Populus trichocarpa, 7473876, licodione synthase  [EC], ['EC:1.14.19.76'], KO:K23179
Populus trichocarpa, 7482418, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Populus trichocarpa, 112325778, flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Populus trichocarpa, 7471942, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Populus trichocarpa, 7454367, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Populus trichocarpa, 7463882, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Populus trichocarpa, 7475030, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Populus trichocarpa, 7465826, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Populus trichocarpa, 7490928, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Populus trichocarpa, 7490768, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Populus trichocarpa, 7495295, anthocyanidin reductase ((2S)-flavan-3-ol-forming) isoform X2  [EC], ['EC:1.3.1.77'], KO:K08695
Populus trichocarpa, 7466920, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Populus trichocarpa, 7475620, leucoanthocyanidin reductase isoform X1  [EC], ['EC:1.17.1.3'], KO:K13081
Populus trichocarpa, 7483928, leucoanthocyanidin reductase  [EC], ['EC:1.17.1.3'], KO:K13081
Populus trichocarpa, 18107945, UDP-glycosyltransferase 88B1  [EC], ['EC:2.4.1.357'], KO:K22845
Populus trichocarpa, 7458540, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7463669, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7462355, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 112324975, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7481810, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7489456, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18094244, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7489434, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7489436, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7493388, shikimate O-hydroxycinnamoyltransferase isoform X2  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7472527, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18107988, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18100471, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18101360, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18101361, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18098695, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18098696, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18107990, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7460046, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7478310, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18100835, salutaridinol 7-O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18101362, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 112327538, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 112327551, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7477052, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 112328871, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 112328896, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7460045, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7474394, fatty alcohol:caffeoyl-CoA acyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7495679, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Populus trichocarpa, 7458907, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Populus trichocarpa, 7457542, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Populus trichocarpa, 7492044, caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
Populus trichocarpa, 18107656, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Populus trichocarpa, 7457813, caffeoyl-CoA O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Populus trichocarpa, 7459098, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
