Durio zibethinus, 111295400, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Durio zibethinus, 111296683, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Durio zibethinus, 111284826, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Durio zibethinus, 111286787, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Durio zibethinus, 111293967, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Durio zibethinus, 111296231, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Durio zibethinus, 111311841, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Durio zibethinus, 111310322, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Durio zibethinus, 111285045, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Durio zibethinus, 111301778, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Durio zibethinus, 111285451, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Durio zibethinus, 111310044, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Durio zibethinus, 111286142, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Durio zibethinus, 111280909, 4-coumarate--CoA ligase 1-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Durio zibethinus, 111285230, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Durio zibethinus, 111294030, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Durio zibethinus, 111281047, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Durio zibethinus, 111277733, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Durio zibethinus, 111303426, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Durio zibethinus, 111303525, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Durio zibethinus, 111279044, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Durio zibethinus, 111317498, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Durio zibethinus, 111274763, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Durio zibethinus, 111301477, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Durio zibethinus, 111291061, 4-coumarate--CoA ligase-like 9 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Durio zibethinus, 111274376, LOW QUALITY PROTEIN: shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111302886, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111288257, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111279632, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111306278, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111283035, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111278781, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111317685, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111277821, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111277822, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111287656, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111289953, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111317468, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111317469, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111282809, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111288103, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Durio zibethinus, 111293639, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Durio zibethinus, 111305062, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Durio zibethinus, 111296902, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Durio zibethinus, 111274117, LOW QUALITY PROTEIN: caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Durio zibethinus, 111317385, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Durio zibethinus, 111313402, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Durio zibethinus, 111314704, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Durio zibethinus, 111305745, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Durio zibethinus, 111310247, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Durio zibethinus, 111282333, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
